ocel_id;ocel_time;ocel_changed_field;Silo Status;Temperature;Humidity;Silo Temperature;Grain Temperature
Silo86;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo46;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo32;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo64;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo31;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo100;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo9;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo84;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo48;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo65;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo23;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo13;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo52;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo83;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo95;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo79;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo30;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo54;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo33;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo55;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo11;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo28;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo16;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo69;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo3;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo44;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo76;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo63;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo29;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo22;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo90;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo4;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo49;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo58;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo70;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo17;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo87;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo96;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo36;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo68;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo57;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo81;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo14;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo21;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo38;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo20;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo97;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo19;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo8;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo34;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo7;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo82;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo10;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo18;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo53;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo50;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo99;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo27;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo93;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo35;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo67;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo40;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo77;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo51;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo26;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo5;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo12;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo78;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo59;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo88;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo37;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo1;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo60;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo15;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
