ocel_id;ocel_type
Lodge_Pcp770;Lodge Pickup Plan
Lodge_Pcp1776;Lodge Pickup Plan
assign_trs_Pcp770;Assign Truck
assign_trs_Pcp770;Assign Truck
assign_trs_Pcp770;Assign Truck
trs_entrytr40;Enter the port
weigh_empty_trucktr40;Weigh the Empty Truck
trs_entrytr15;Enter the port
trs_entrytr193;Enter the port
weigh_empty_trucktr15;Weigh the Empty Truck
weigh_empty_trucktr193;Weigh the Empty Truck
check_abnormalitytr40;Check Empty Truck Weight Abnormality
fail_weightr40;Fail to Weigh
check_abnormalitytr193;Check Empty Truck Weight Abnormality
check_abnormalitytr15;Check Empty Truck Weight Abnormality
fail_weightr193;Fail to Weigh
arrive_at_Silo70;Arrive at the Silo
determine_continuanceSilo70;Determine the Continuance of the Pickup
load_trucktr15;Load Truck
weigh_loaded_trucktr15;Weigh the Loaded Truck
Lodge_Pcp820;Lodge Pickup Plan
print_w_tickettr15;Print the Weighing Ticket
input_tally_sheettr15;Input the Tally Sheet
eval_trs_exittr15_Pcp770;Evaluate the Truck Exit
assign_trs_Pcp1776;Assign Truck
assign_trs_Pcp1776;Assign Truck
assign_trs_Pcp1776;Assign Truck
assign_trs_Pcp1776;Assign Truck
assign_trs_Pcp1776;Assign Truck
trs_entrytr58;Enter the port
trs_entrytr26;Enter the port
trs_entrytr248;Enter the port
trs_entrytr134;Enter the port
trs_entrytr247;Enter the port
weigh_empty_trucktr58;Weigh the Empty Truck
weigh_empty_trucktr26;Weigh the Empty Truck
weigh_empty_trucktr247;Weigh the Empty Truck
weigh_empty_trucktr134;Weigh the Empty Truck
weigh_empty_trucktr248;Weigh the Empty Truck
check_abnormalitytr58;Check Empty Truck Weight Abnormality
check_abnormalitytr134;Check Empty Truck Weight Abnormality
check_abnormalitytr26;Check Empty Truck Weight Abnormality
check_abnormalitytr247;Check Empty Truck Weight Abnormality
check_abnormalitytr248;Check Empty Truck Weight Abnormality
fail_weightr247;Fail to Weigh
fail_weightr26;Fail to Weigh
arrive_at_Silo80;Arrive at the Silo
determine_continuanceSilo80;Determine the Continuance of the Pickup
arrive_at_Silo80;Arrive at the Silo
arrive_at_Silo80;Arrive at the Silo
load_trucktr58;Load Truck
determine_continuanceSilo80;Determine the Continuance of the Pickup
determine_continuanceSilo80;Determine the Continuance of the Pickup
load_trucktr248;Load Truck
load_trucktr134;Load Truck
Lodge_Pcp1020;Lodge Pickup Plan
weigh_loaded_trucktr58;Weigh the Loaded Truck
weigh_loaded_trucktr248;Weigh the Loaded Truck
weigh_loaded_trucktr134;Weigh the Loaded Truck
Lodge_Pcp1922;Lodge Pickup Plan
print_w_tickettr58;Print the Weighing Ticket
input_tally_sheettr58;Input the Tally Sheet
assign_trs_Pcp820;Assign Truck
assign_trs_Pcp820;Assign Truck
input_tally_sheettr134;Input the Tally Sheet
print_w_tickettr248;Print the Weighing Ticket
input_tally_sheettr248;Input the Tally Sheet
print_w_tickettr134;Print the Weighing Ticket
assign_trs_Pcp820;Assign Truck
assign_trs_Pcp820;Assign Truck
assign_trs_Pcp820;Assign Truck
eval_trs_exittr58_Pcp1776;Evaluate the Truck Exit
assign_trs_Pcp820;Assign Truck
assign_trs_Pcp820;Assign Truck
eval_trs_exittr134_Pcp1776;Evaluate the Truck Exit
eval_trs_exittr248_Pcp1776;Evaluate the Truck Exit
trs_entrytr119;Enter the port
trs_entrytr71;Enter the port
trs_entrytr212;Enter the port
trs_entrytr298;Enter the port
trs_entrytr245;Enter the port
weigh_empty_trucktr119;Weigh the Empty Truck
weigh_empty_trucktr71;Weigh the Empty Truck
trs_entrytr253;Enter the port
trs_entrytr141;Enter the port
weigh_empty_trucktr298;Weigh the Empty Truck
weigh_empty_trucktr212;Weigh the Empty Truck
weigh_empty_trucktr245;Weigh the Empty Truck
weigh_empty_trucktr253;Weigh the Empty Truck
weigh_empty_trucktr141;Weigh the Empty Truck
check_abnormalitytr119;Check Empty Truck Weight Abnormality
check_abnormalitytr71;Check Empty Truck Weight Abnormality
check_abnormalitytr245;Check Empty Truck Weight Abnormality
check_abnormalitytr298;Check Empty Truck Weight Abnormality
check_abnormalitytr212;Check Empty Truck Weight Abnormality
fail_weightr71;Fail to Weigh
fail_weightr119;Fail to Weigh
check_abnormalitytr253;Check Empty Truck Weight Abnormality
check_abnormalitytr141;Check Empty Truck Weight Abnormality
fail_weightr298;Fail to Weigh
fail_weightr253;Fail to Weigh
fail_weightr141;Fail to Weigh
arrive_at_Silo40;Arrive at the Silo
arrive_at_Silo40;Arrive at the Silo
determine_continuanceSilo40;Determine the Continuance of the Pickup
determine_continuanceSilo40;Determine the Continuance of the Pickup
load_trucktr245;Load Truck
load_trucktr212;Load Truck
Lodge_Pcp1911;Lodge Pickup Plan
weigh_loaded_trucktr212;Weigh the Loaded Truck
weigh_loaded_trucktr245;Weigh the Loaded Truck
print_w_tickettr245;Print the Weighing Ticket
input_tally_sheettr245;Input the Tally Sheet
print_w_tickettr212;Print the Weighing Ticket
input_tally_sheettr212;Input the Tally Sheet
eval_trs_exittr245_Pcp820;Evaluate the Truck Exit
eval_trs_exittr212_Pcp820;Evaluate the Truck Exit
Lodge_Pcp1963;Lodge Pickup Plan
assign_trs_Pcp1922;Assign Truck
assign_trs_Pcp1922;Assign Truck
assign_trs_Pcp1922;Assign Truck
assign_trs_Pcp1922;Assign Truck
trs_entrytr140;Enter the port
weigh_empty_trucktr140;Weigh the Empty Truck
trs_entrytr262;Enter the port
trs_entrytr151;Enter the port
trs_entrytr291;Enter the port
weigh_empty_trucktr151;Weigh the Empty Truck
weigh_empty_trucktr262;Weigh the Empty Truck
weigh_empty_trucktr291;Weigh the Empty Truck
check_abnormalitytr140;Check Empty Truck Weight Abnormality
check_abnormalitytr291;Check Empty Truck Weight Abnormality
check_abnormalitytr262;Check Empty Truck Weight Abnormality
check_abnormalitytr151;Check Empty Truck Weight Abnormality
arrive_at_Silo47;Arrive at the Silo
fail_weightr151;Fail to Weigh
determine_continuanceSilo47;Determine the Continuance of the Pickup
arrive_at_Silo47;Arrive at the Silo
arrive_at_Silo47;Arrive at the Silo
load_trucktr140;Load Truck
determine_continuanceSilo47;Determine the Continuance of the Pickup
determine_continuanceSilo47;Determine the Continuance of the Pickup
load_trucktr291;Load Truck
load_trucktr262;Load Truck
weigh_loaded_trucktr140;Weigh the Loaded Truck
weigh_loaded_trucktr291;Weigh the Loaded Truck
weigh_loaded_trucktr262;Weigh the Loaded Truck
assign_trs_Pcp1020;Assign Truck
assign_trs_Pcp1020;Assign Truck
assign_trs_Pcp1020;Assign Truck
assign_trs_Pcp1020;Assign Truck
assign_trs_Pcp1020;Assign Truck
input_tally_sheettr140;Input the Tally Sheet
print_w_tickettr140;Print the Weighing Ticket
assign_trs_Pcp1020;Assign Truck
assign_trs_Pcp1020;Assign Truck
eval_trs_exittr140_Pcp1922;Evaluate the Truck Exit
input_tally_sheettr262;Input the Tally Sheet
print_w_tickettr262;Print the Weighing Ticket
print_w_tickettr291;Print the Weighing Ticket
input_tally_sheettr291;Input the Tally Sheet
trs_entrytr252;Enter the port
trs_entrytr113;Enter the port
eval_trs_exittr262_Pcp1922;Evaluate the Truck Exit
eval_trs_exittr291_Pcp1922;Evaluate the Truck Exit
trs_entrytr157;Enter the port
trs_entrytr135;Enter the port
trs_entrytr238;Enter the port
trs_entrytr143;Enter the port
trs_entrytr236;Enter the port
weigh_empty_trucktr113;Weigh the Empty Truck
weigh_empty_trucktr252;Weigh the Empty Truck
weigh_empty_trucktr157;Weigh the Empty Truck
weigh_empty_trucktr238;Weigh the Empty Truck
weigh_empty_trucktr135;Weigh the Empty Truck
assign_trs_Pcp1911;Assign Truck
assign_trs_Pcp1911;Assign Truck
assign_trs_Pcp1911;Assign Truck
