ocel_id;ocel_type
Silo86;Silo
Silo46;Silo
Silo32;Silo
Silo64;Silo
Silo31;Silo
Silo100;Silo
tr174;Truck
tr215;Truck
Cr1064;Cargo
Silo9;Silo
tr89;Truck
tr155;Truck
Cr682;Cargo
Cr805;Cargo
Silo84;Silo
Cr330;Cargo
tr55;Truck
Silo48;Silo
tr233;Truck
Silo65;Silo
tr268;Truck
Silo23;Silo
tr124;Truck
tr116;Truck
Silo13;Silo
Cr408;Cargo
Silo52;Silo
tr153;Truck
Cr10;Cargo
Cr141;Cargo
Silo83;Silo
tr97;Truck
Cr635;Cargo
Cr552;Cargo
Cr162;Cargo
Silo95;Silo
Silo79;Silo
tr157;Truck
Cr1979;Cargo
Silo30;Silo
Cr295;Cargo
Cr503;Cargo
tr244;Truck
tr86;Truck
Cr189;Cargo
Cr1085;Cargo
tr95;Truck
Cr1700;Cargo
Silo54;Silo
tr210;Truck
Cr1640;Cargo
Cr92;Cargo
Cr236;Cargo
Silo33;Silo
tr166;Truck
Silo55;Silo
Silo11;Silo
tr138;Truck
Silo28;Silo
tr161;Truck
Silo16;Silo
Silo69;Silo
Silo3;Silo
Silo44;Silo
Silo76;Silo
Silo63;Silo
tr66;Truck
Cr410;Cargo
Silo29;Silo
tr246;Truck
Silo22;Silo
Cr15;Cargo
Silo90;Silo
Cr1551;Cargo
Silo4;Silo
tr279;Truck
tr229;Truck
Cr846;Cargo
Cr167;Cargo
tr69;Truck
Silo49;Silo
Cr1271;Cargo
tr43;Truck
Silo58;Silo
Cr892;Cargo
Cr976;Cargo
tr285;Truck
Silo70;Silo
Cr839;Cargo
Cr1233;Cargo
tr178;Truck
Cr1655;Cargo
Silo17;Silo
Silo87;Silo
tr99;Truck
tr263;Truck
Cr791;Cargo
Silo96;Silo
tr177;Truck
tr287;Truck
tr216;Truck
tr151;Truck
Cr382;Cargo
tr24;Truck
tr140;Truck
Cr1310;Cargo
Cr850;Cargo
tr181;Truck
tr32;Truck
Silo36;Silo
Cr1330;Cargo
tr127;Truck
Silo68;Silo
Cr1391;Cargo
tr136;Truck
Cr124;Cargo
tr193;Truck
Cr822;Cargo
tr264;Truck
Cr1133;Cargo
tr272;Truck
tr143;Truck
tr105;Truck
Silo57;Silo
Silo81;Silo
tr96;Truck
tr58;Truck
Cr1344;Cargo
tr31;Truck
Cr955;Cargo
Cr82;Cargo
Silo14;Silo
Silo21;Silo
Silo38;Silo
Cr1157;Cargo
tr281;Truck
tr245;Truck
tr72;Truck
Cr1516;Cargo
tr25;Truck
tr114;Truck
Cr1996;Cargo
Cr1088;Cargo
Silo20;Silo
Silo97;Silo
Silo19;Silo
Cr1395;Cargo
tr247;Truck
Cr1075;Cargo
Silo8;Silo
Cr861;Cargo
Cr1507;Cargo
Cr486;Cargo
Cr1882;Cargo
Cr1921;Cargo
Cr1936;Cargo
Silo34;Silo
Silo7;Silo
Silo82;Silo
tr220;Truck
Silo10;Silo
tr79;Truck
tr266;Truck
tr213;Truck
Silo18;Silo
Silo53;Silo
tr253;Truck
Cr1087;Cargo
Cr1804;Cargo
tr239;Truck
Cr1742;Cargo
Silo50;Silo
Cr1732;Cargo
Silo99;Silo
Silo27;Silo
Cr1474;Cargo
Cr1599;Cargo
Silo93;Silo
Silo35;Silo
Cr979;Cargo
tr52;Truck
Cr1662;Cargo
Silo67;Silo
tr283;Truck
Silo40;Silo
tr78;Truck
Silo77;Silo
Silo51;Silo
tr199;Truck
tr262;Truck
Silo26;Silo
Cr884;Cargo
Silo5;Silo
Silo12;Silo
Cr1974;Cargo
Cr1238;Cargo
Cr493;Cargo
Silo78;Silo
tr17;Truck
