ocel_id;ocel_time;ocel_changed_field;weight
p-660001;2023-04-08 00:14:59;;0.966
p-660002;2023-04-08 01:00:00;;12.053
p-660003;2023-04-11 17:34:03;;6.892
p-660004;2023-04-12 22:37:39;;3.201
p-660005;2023-04-13 01:00:00;;8.908
p-660006;2023-04-14 12:35:03;;2.726
p-660007;2023-04-14 18:33:45;;4.646
p-660008;2023-04-15 01:41:18;;6.173
p-660009;2023-04-17 19:22:38;;1.536
p-660010;2023-04-17 19:52:47;;6.288
p-660011;2023-04-18 01:00:00;;3.977
p-660012;2023-04-18 17:35:33;;1.53
p-660013;2023-04-18 17:45:35;;1.452
p-660014;2023-04-18 20:15:42;;4.736
p-660015;2023-04-19 13:47:56;;4.123
p-660016;2023-04-19 18:05:59;;11.595
p-660017;2023-04-21 14:06:37;;2.596
p-660018;2023-04-21 19:49:51;;0.98
p-660019;2023-04-21 19:52:39;;6.115
p-660020;2023-04-23 01:00:00;;2.873
p-660021;2023-04-25 11:01:54;;4.808
p-660022;2023-04-25 21:21:28;;2.685
p-660023;2023-04-26 12:58:47;;6.729
p-660024;2023-04-27 19:01:19;;8.529
p-660025;2023-04-28 01:00:00;;3.066
p-660026;2023-04-29 07:37:33;;3.389
p-660027;2023-04-29 22:17:31;;4.879
p-660028;2023-05-01 12:29:41;;2.316
p-660029;2023-05-01 16:55:35;;4.435
p-660030;2023-05-01 20:33:24;;7.052
p-660031;2023-05-02 12:04:36;;3.813
p-660032;2023-05-02 15:12:39;;12.411
p-660033;2023-05-03 01:00:00;;2.2
p-660034;2023-05-03 13:29:22;;10.048
p-660035;2023-05-03 20:30:49;;7.612
p-660036;2023-05-04 02:45:00;;0.655
p-660037;2023-05-04 04:56:38;;3.426
p-660038;2023-05-04 14:06:00;;5.078
p-660039;2023-05-04 22:47:52;;8.402
p-660040;2023-05-05 07:10:27;;5.845
p-660041;2023-05-05 18:48:35;;1.834
p-660042;2023-05-05 20:56:57;;7.839
p-660043;2023-05-06 05:55:31;;5.262
p-660044;2023-05-06 11:35:53;;6.342
p-660045;2023-05-07 07:41:00;;1.256
p-660046;2023-05-08 01:00:00;;5.728
p-660047;2023-05-08 20:05:09;;8.177
p-660048;2023-05-09 05:04:01;;3.99
p-660049;2023-05-09 06:44:27;;6.123
p-660050;2023-05-09 17:31:22;;2.703
p-660051;2023-05-09 20:48:30;;7.465
p-660052;2023-05-10 02:20:34;;2.998
p-660053;2023-05-10 05:54:23;;7.293
p-660054;2023-05-10 23:07:14;;2.352
p-660055;2023-05-11 02:49:13;;8.411
p-660056;2023-05-11 09:26:14;;2.436
p-660057;2023-05-11 14:53:01;;7.167
p-660058;2023-05-11 21:16:12;;3.135
p-660059;2023-05-12 02:03:46;;2.955
p-660060;2023-05-12 03:42:36;;9.616
p-660061;2023-05-12 12:21:29;;3.713
p-660062;2023-05-12 13:49:28;;8.928
p-660063;2023-05-13 01:00:00;;6.099
p-660064;2023-05-13 13:22:47;;6.617
p-660065;2023-05-15 05:14:55;;7.57
p-660066;2023-05-15 20:07:56;;4.084
p-660067;2023-05-16 01:35:33;;6.05
p-660068;2023-05-16 05:49:43;;1.28
p-660069;2023-05-16 06:07:53;;6.987
p-660070;2023-05-16 13:13:31;;8.446
p-660071;2023-05-16 21:16:18;;3.809
p-660072;2023-05-17 02:53:33;;1.5
p-660073;2023-05-17 04:17:30;;1.824
p-660074;2023-05-17 06:09:20;;4.481
p-660075;2023-05-17 10:36:18;;2.029
p-660076;2023-05-17 13:08:21;;3.021
p-660077;2023-05-17 16:07:33;;2.05
p-660078;2023-05-17 21:24:16;;6.866
p-660079;2023-05-18 01:00:00;;3.769
p-660080;2023-05-18 12:12:25;;1.226
p-660081;2023-05-18 16:26:15;;6.657
p-660082;2023-05-19 00:17:48;;3.567
p-660083;2023-05-19 07:08:20;;8.927
p-660084;2023-05-20 00:32:29;;5.939
p-660085;2023-05-20 12:02:03;;3.603
p-660086;2023-05-20 14:09:54;;3.455
p-660087;2023-05-20 17:21:47;;1.992
p-660088;2023-05-21 04:29:40;;6.982
p-660089;2023-05-21 19:34:38;;1.73
p-660090;2023-05-22 08:57:20;;2.526
p-660091;2023-05-22 16:02:46;;3.845
p-660092;2023-05-23 01:00:00;;4.28
p-660093;2023-05-23 05:54:44;;9.474
p-660094;2023-05-23 19:10:21;;3.123
p-660095;2023-05-23 21:40:04;;7.075
p-660096;2023-05-24 02:22:44;;3.85
p-660097;2023-05-24 05:56:19;;2.875
p-660098;2023-05-24 07:49:43;;2.348
p-660099;2023-05-24 09:09:24;;5.521
p-660100;2023-05-24 18:40:09;;2.506
p-660101;2023-05-25 01:56:16;;3.12
p-660102;2023-05-25 04:14:45;;7.962
p-660103;2023-05-25 09:20:24;;0.38
p-660104;2023-05-25 09:31:12;;7.038
p-660105;2023-05-25 23:02:04;;4.337
p-660106;2023-05-26 07:24:28;;5.707
p-660107;2023-05-26 14:51:15;;8.077
p-660108;2023-05-27 09:46:38;;3.221
p-660109;2023-05-27 10:45:21;;4.22
p-660110;2023-05-27 12:10:31;;6.718
p-660111;2023-05-27 18:33:32;;3.072
p-660112;2023-05-27 22:47:56;;1.93
p-660113;2023-05-28 01:00:00;;2.959
p-660114;2023-05-28 12:48:39;;8.465
p-660115;2023-05-29 22:15:10;;3.824
p-660116;2023-05-30 08:26:10;;4.913
p-660117;2023-05-30 18:58:21;;6.051
p-660118;2023-05-31 01:24:36;;5.433
p-660119;2023-05-31 06:54:00;;4.87
p-660120;2023-05-31 09:51:34;;1.063
p-660121;2023-05-31 11:22:45;;2.04
p-660122;2023-05-31 12:40:54;;2.826
p-660123;2023-05-31 16:06:54;;3.477
p-660124;2023-06-01 05:24:15;;2.516
p-660125;2023-06-01 07:03:08;;5.783
p-660126;2023-06-01 10:04:56;;10.407
p-660127;2023-06-02 00:22:48;;2.78
p-660128;2023-06-02 01:00:00;;2.626
p-660129;2023-06-02 08:41:43;;3.588
p-660130;2023-06-02 14:17:58;;3.383
p-660131;2023-06-02 19:04:52;;12.529
p-660132;2023-06-03 11:14:53;;0.763
p-660133;2023-06-03 13:10:02;;6.543
p-660134;2023-06-03 17:49:04;;0.863
p-660135;2023-06-03 18:33:21;;4.6
p-660136;2023-06-04 04:42:33;;2.464
p-660137;2023-06-04 20:38:44;;9.376
p-660138;2023-06-05 23:49:26;;2.251
p-660139;2023-06-06 04:33:36;;8.761
p-660140;2023-06-06 14:03:01;;0.483
p-660141;2023-06-06 15:25:55;;3.297
p-660142;2023-06-06 18:10:32;;3.882
p-660143;2023-06-06 20:34:47;;3.963
p-660144;2023-06-06 23:19:36;;1.535
p-660145;2023-06-07 00:17:38;;6.431
p-660146;2023-06-07 01:00:00;;11.235
p-660147;2023-06-07 17:41:53;;0.72
p-660148;2023-06-07 18:39:40;;3.364
p-660149;2023-06-08 03:02:21;;10.342
p-660150;2023-06-08 20:46:23;;3.595
p-660151;2023-06-08 23:18:51;;6.086
p-660152;2023-06-09 09:21:21;;4.373
p-660153;2023-06-09 18:49:24;;8.823
p-660154;2023-06-10 02:23:26;;2.183
p-660155;2023-06-10 04:49:30;;3.07
p-660156;2023-06-10 15:24:46;;3.708
p-660157;2023-06-11 02:05:03;;14.113
p-660158;2023-06-12 01:00:00;;1.363
p-660159;2023-06-12 12:46:19;;3.185
p-660160;2023-06-12 22:50:45;;4.845
p-660161;2023-06-13 07:43:54;;2.614
p-660162;2023-06-13 10:25:54;;5.49
p-660163;2023-06-13 23:57:08;;2.144
p-660164;2023-06-14 03:40:56;;3.312
p-660165;2023-06-14 07:27:21;;3.192
p-660166;2023-06-14 09:14:54;;2.2
p-660167;2023-06-14 12:37:02;;6.029
p-660168;2023-06-14 19:38:30;;4.863
p-660169;2023-06-15 06:37:24;;0.756
p-660170;2023-06-15 08:26:53;;4.417
p-660171;2023-06-15 16:01:31;;6.02
p-660172;2023-06-15 22:08:45;;6.451
p-660173;2023-06-16 04:00:28;;0.38
p-660174;2023-06-16 04:05:32;;4.559
p-660175;2023-06-16 13:13:23;;4.164
p-660176;2023-06-16 16:57:55;;2.688
p-660177;2023-06-16 21:23:53;;10.632
p-660178;2023-06-17 01:00:00;;6.476
p-660179;2023-06-18 00:29:26;;4.567
p-660180;2023-06-19 01:15:20;;7.26
p-660181;2023-06-20 14:30:29;;3.61
p-660182;2023-06-20 16:35:02;;0.649
p-660183;2023-06-20 20:17:18;;3.31
p-660184;2023-06-20 21:34:53;;0.929
p-660185;2023-06-20 22:51:31;;2.013
p-660186;2023-06-20 23:53:21;;5.122
p-660187;2023-06-21 04:26:57;;0.64
p-660188;2023-06-21 06:08:27;;2.608
p-660189;2023-06-21 11:38:38;;4.3
p-660190;2023-06-21 17:25:24;;8.386
p-660191;2023-06-22 01:00:00;;7.849
p-660192;2023-06-23 01:56:04;;11.636
p-660193;2023-06-23 10:38:03;;0.376
p-660194;2023-06-23 12:50:42;;5.614
p-660195;2023-06-24 06:01:30;;5.552
p-660196;2023-06-24 17:40:29;;0.483
p-660197;2023-06-24 18:27:23;;4.32
p-660198;2023-06-24 20:38:13;;8.543
p-660199;2023-06-26 00:42:52;;1.86
p-660200;2023-06-26 01:59:21;;0.568
p-660201;2023-06-26 03:10:20;;5.549
p-660202;2023-06-27 01:00:00;;4.131
p-660203;2023-06-27 17:18:38;;5.493
p-660204;2023-06-27 22:19:09;;7.822
p-660205;2023-06-28 03:54:29;;5.637
p-660206;2023-06-28 09:51:52;;3.543
p-660207;2023-06-28 18:02:01;;5.96
p-660208;2023-06-29 07:58:30;;2.742
p-660209;2023-06-29 14:51:50;;2.723
p-660210;2023-06-29 17:54:26;;3.696
p-660211;2023-06-30 03:21:09;;4.863
p-660212;2023-06-30 07:49:33;;1.651
p-660213;2023-06-30 11:51:20;;5.488
p-660214;2023-06-30 15:20:15;;5.288
p-660215;2023-07-01 01:19:00;;1.134
p-660216;2023-07-01 03:58:23;;1.439
p-660217;2023-07-01 06:00:14;;6.417
p-660218;2023-07-01 14:57:14;;1.997
p-660219;2023-07-01 23:23:15;;4.242
p-660220;2023-07-02 01:00:00;;6.414
p-660221;2023-07-03 12:41:46;;3.393
p-660222;2023-07-03 22:57:24;;7.289
p-660223;2023-07-04 13:59:03;;3.53
p-660224;2023-07-04 22:45:44;;10.175
p-660225;2023-07-05 10:19:28;;1.732
p-660226;2023-07-05 12:09:55;;2.278
p-660227;2023-07-05 15:37:07;;1.951
p-660228;2023-07-05 17:21:51;;4.364
p-660229;2023-07-06 01:29:27;;2.798
p-660230;2023-07-06 04:36:46;;0.28
p-660231;2023-07-06 05:42:44;;5.09
p-660232;2023-07-06 09:59:50;;3.822
p-660233;2023-07-06 14:30:09;;1.25
p-660234;2023-07-06 14:43:23;;5.66
p-660235;2023-07-06 22:35:46;;5.924
p-660236;2023-07-07 01:00:00;;6.293
p-660237;2023-07-08 04:03:49;;2.726
p-660238;2023-07-08 07:17:40;;5.672
p-660239;2023-07-08 15:34:21;;4.413
p-660240;2023-07-08 23:59:48;;0.98
p-660241;2023-07-09 00:34:06;;3.53
p-660242;2023-07-09 11:24:07;;2.225
p-660243;2023-07-09 18:53:01;;1.22
