ocel_id;ocel_type
place_o-990001;place order
place_o-990002;place order
place_o-990003;place order
place_o-990004;place order
place_o-990005;place order
confirm_o-990001;confirm order
pick_i-880011;pick item
pick_i-880008;pick item
pick_i-880010;pick item
pick_i-880007;pick item
pick_i-880013;pick item
pick_i-880005;pick item
pick_i-880002;pick item
pick_i-880003;pick item
pick_i-880006;pick item
pick_i-880012;pick item
pick_i-880014;pick item
pick_i-880004;pick item
pick_i-880001;pick item
confirm_o-990002;confirm order
place_o-990006;place order
confirm_o-990003;confirm order
out_of_stock_i-880015;item out of stock
out_of_stock_i-880009;item out of stock
pick_i-880017;pick item
pick_i-880016;pick item
place_o-990007;place order
reminder_o-990001_1;payment reminder
pay_o-990002;pay order
place_o-990008;place order
pick_i-880018;pick item
pick_i-880020;pick item
pick_i-880021;pick item
pick_i-880022;pick item
pick_i-880023;pick item
pick_i-880024;pick item
confirm_o-990004;confirm order
pay_o-990003;pay order
confirm_o-990005;confirm order
reorder_i-880015;reorder item
reorder_i-880009;reorder item
place_o-990009;place order
pick_i-880009;pick item
out_of_stock_i-880019;item out of stock
pick_i-880015;pick item
pick_i-880031;pick item
pick_i-880030;pick item
pick_i-880027;pick item
pick_i-880028;pick item
pick_i-880026;pick item
pick_i-880029;pick item
pick_i-880025;pick item
place_o-990010;place order
pay_o-990001;pay order
confirm_o-990006;confirm order
pick_i-880032;pick item
pick_i-880033;pick item
pick_i-880035;pick item
place_o-990011;place order
pay_o-990005;pay order
reorder_i-880019;reorder item
pick_i-880037;pick item
pick_i-880036;pick item
confirm_o-990007;confirm order
out_of_stock_i-880034;item out of stock
pick_i-880019;pick item
confirm_o-990008;confirm order
pay_o-990006;pay order
out_of_stock_i-880038;item out of stock
reminder_o-990004_2;payment reminder
reorder_i-880034;reorder item
place_o-990012;place order
pick_i-880045;pick item
pick_i-880041;pick item
pick_i-880039;pick item
pick_i-880043;pick item
pay_o-990007;pay order
place_o-990013;place order
pick_i-880034;pick item
out_of_stock_i-880044;item out of stock
pick_i-880047;pick item
pick_i-880048;pick item
pick_i-880049;pick item
pick_i-880046;pick item
