ocel_id;ocel_time;ocel_changed_field;weight;price
Fire Stick;2023-04-03 01:00:00;;0.2;39.99
Echo Show 8;2023-04-03 01:00:00;;0.98;129.99
Echo Plus;2023-04-03 01:00:00;;1.28;149.99
iPhone 8;2023-04-03 01:00:00;;0.21;529.0
iPad;2023-04-03 01:00:00;;0.483;495.0
iPad Pro;2023-04-03 01:00:00;;0.483;1099.0
Echo Studio;2023-04-03 01:00:00;;1.48;199.99
Kindle;2023-04-03 01:00:00;;0.483;79.99
iPhone 11 Pro;2023-04-03 01:00:00;;0.188;1149.0
iPad Air;2023-04-03 01:00:00;;0.44;476.0
iPhone X;2023-04-03 01:00:00;;0.172;699.0
MacBook Air;2023-04-03 01:00:00;;1.25;2200.0
Echo Show 5;2023-04-03 01:00:00;;0.88;89.99
iPhone 11;2023-04-03 01:00:00;;0.166;799.0
Echo;2023-04-03 01:00:00;;0.78;99.99
iPad mini;2023-04-03 01:00:00;;0.28;449.0
Fire Stick 4K;2023-04-03 01:00:00;;0.28;89.99
Kindle Paperwhite;2023-04-03 01:00:00;;0.495;129.0
MacBook Pro;2023-04-03 01:00:00;;1.37;2500.0
Echo Dot;2023-04-03 01:00:00;;0.38;29.99
iPhone 11 Pro;2023-06-02 11:39:36;price;;1202.31
iPhone 11;2023-06-02 11:39:36;price;;836.07
iPhone X;2023-06-02 11:39:36;price;;731.43
iPhone 8;2023-06-02 11:39:36;price;;553.55
iPad Pro;2023-06-02 11:39:36;price;;1149.99
iPad Air;2023-06-02 11:39:36;price;;498.09
iPad;2023-06-02 11:39:36;price;;517.97
iPad mini;2023-06-02 11:39:36;price;;469.83
MacBook Air;2023-06-02 11:39:36;price;;2302.08
MacBook Pro;2023-06-02 11:39:36;price;;2616.0
Echo Show 5;2023-06-02 11:39:36;price;;94.17
Echo Show 8;2023-06-02 11:39:36;price;;136.02
Echo Dot;2023-06-02 11:39:36;price;;31.38
Echo;2023-06-02 11:39:36;price;;104.63
