ocel_source_id;ocel_target_id;ocel_qualifier
co1;td1;TD for CO
td1;vh1;High-Prio VH for TD
td1;vh3;Regular VH for TD
cr2;td1;CR for TD
cr4;td1;CR for TD
cr1;td1;CR for TD
cr3;td1;CR for TD
tr1;cr3;TR loads CR
cr3;hu4;CR contains HU
cr3;hu2;CR contains HU
cr3;hu6;CR contains HU
cr3;hu5;CR contains HU
cr3;hu1;CR contains HU
cr3;hu3;CR contains HU
tr1;cr4;TR loads CR
cr4;hu7;CR contains HU
tr1;cr2;TR loads CR
cr2;hu13;CR contains HU
cr2;hu8;CR contains HU
cr2;hu11;CR contains HU
cr2;hu12;CR contains HU
cr2;hu9;CR contains HU
cr2;hu10;CR contains HU
tr1;cr1;TR loads CR
cr1;hu14;CR contains HU
cr1;hu18;CR contains HU
cr1;hu15;CR contains HU
cr1;hu17;CR contains HU
cr1;hu19;CR contains HU
cr1;hu16;CR contains HU
co2;td2;TD for CO
td2;vh6;Regular VH for TD
cr5;td2;CR for TD
cr6;td2;CR for TD
cr7;td2;CR for TD
cr8;td2;CR for TD
cr9;td2;CR for TD
tr1;cr6;TR loads CR
cr6;hu23;CR contains HU
cr6;hu25;CR contains HU
cr6;hu22;CR contains HU
cr6;hu20;CR contains HU
cr6;hu24;CR contains HU
cr6;hu21;CR contains HU
tr1;cr7;TR loads CR
cr7;hu27;CR contains HU
cr7;hu31;CR contains HU
cr7;hu26;CR contains HU
cr7;hu30;CR contains HU
cr7;hu28;CR contains HU
cr7;hu29;CR contains HU
tr1;cr5;TR loads CR
cr5;hu32;CR contains HU
cr5;hu33;CR contains HU
cr5;hu37;CR contains HU
cr5;hu35;CR contains HU
cr5;hu34;CR contains HU
cr5;hu36;CR contains HU
tr1;cr8;TR loads CR
cr8;hu38;CR contains HU
cr8;hu39;CR contains HU
cr8;hu41;CR contains HU
cr8;hu43;CR contains HU
cr8;hu42;CR contains HU
cr8;hu40;CR contains HU
tr1;cr9;TR loads CR
cr9;hu44;CR contains HU
cr9;hu45;CR contains HU
co3;td3;TD for CO
td3;vh3;Regular VH for TD
cr10;td3;CR for TD
cr11;td3;CR for TD
cr12;td3;CR for TD
cr13;td3;CR for TD
tr1;cr13;TR loads CR
cr13;hu47;CR contains HU
cr13;hu48;CR contains HU
cr13;hu51;CR contains HU
cr13;hu46;CR contains HU
cr13;hu49;CR contains HU
cr13;hu50;CR contains HU
tr1;cr10;TR loads CR
cr10;hu52;CR contains HU
cr10;hu53;CR contains HU
cr10;hu57;CR contains HU
cr10;hu56;CR contains HU
cr10;hu54;CR contains HU
cr10;hu55;CR contains HU
tr1;cr12;TR loads CR
cr12;hu62;CR contains HU
cr12;hu60;CR contains HU
cr12;hu59;CR contains HU
cr12;hu61;CR contains HU
cr12;hu58;CR contains HU
cr12;hu63;CR contains HU
tr1;cr11;TR loads CR
cr11;hu65;CR contains HU
cr11;hu69;CR contains HU
cr11;hu67;CR contains HU
cr11;hu66;CR contains HU
cr11;hu64;CR contains HU
cr11;hu68;CR contains HU
co4;td4;TD for CO
td4;vh3;Regular VH for TD
cr14;td4;CR for TD
cr15;td4;CR for TD
cr16;td4;CR for TD
cr17;td4;CR for TD
cr18;td4;CR for TD
tr1;cr15;TR loads CR
cr15;hu70;CR contains HU
cr15;hu75;CR contains HU
cr15;hu72;CR contains HU
cr15;hu74;CR contains HU
cr15;hu71;CR contains HU
cr15;hu73;CR contains HU
tr1;cr14;TR loads CR
cr14;hu81;CR contains HU
cr14;hu76;CR contains HU
cr14;hu79;CR contains HU
cr14;hu77;CR contains HU
cr14;hu78;CR contains HU
cr14;hu80;CR contains HU
tr1;cr16;TR loads CR
cr16;hu82;CR contains HU
cr16;hu87;CR contains HU
cr16;hu85;CR contains HU
cr16;hu83;CR contains HU
cr16;hu86;CR contains HU
cr16;hu84;CR contains HU
tr1;cr17;TR loads CR
cr17;hu89;CR contains HU
cr17;hu88;CR contains HU
cr17;hu93;CR contains HU
cr17;hu92;CR contains HU
cr17;hu91;CR contains HU
cr17;hu90;CR contains HU
tr1;cr18;TR loads CR
cr18;hu97;CR contains HU
cr18;hu95;CR contains HU
cr18;hu99;CR contains HU
cr18;hu96;CR contains HU
cr18;hu98;CR contains HU
cr18;hu94;CR contains HU
co5;td5;TD for CO
td5;vh1;High-Prio VH for TD
td5;vh5;Regular VH for TD
cr20;td5;CR for TD
cr19;td5;CR for TD
cr21;td5;CR for TD
cr22;td5;CR for TD
tr1;cr20;TR loads CR
cr20;hu104;CR contains HU
cr20;hu105;CR contains HU
cr20;hu102;CR contains HU
cr20;hu103;CR contains HU
cr20;hu101;CR contains HU
cr20;hu100;CR contains HU
tr1;cr22;TR loads CR
cr22;hu106;CR contains HU
cr22;hu107;CR contains HU
tr1;cr19;TR loads CR
cr19;hu109;CR contains HU
cr19;hu110;CR contains HU
cr19;hu111;CR contains HU
cr19;hu113;CR contains HU
cr19;hu112;CR contains HU
cr19;hu108;CR contains HU
tr1;cr21;TR loads CR
cr21;hu118;CR contains HU
co6;td6;TD for CO
cr21;hu117;CR contains HU
cr21;hu115;CR contains HU
cr21;hu114;CR contains HU
cr21;hu116;CR contains HU
cr21;hu119;CR contains HU
td6;vh1;High-Prio VH for TD
td6;vh3;Regular VH for TD
cr24;td6;CR for TD
cr23;td6;CR for TD
cr25;td6;CR for TD
cr26;td6;CR for TD
cr27;td6;CR for TD
tr1;cr27;TR loads CR
cr27;hu123;CR contains HU
cr27;hu122;CR contains HU
cr27;hu120;CR contains HU
cr27;hu121;CR contains HU
tr1;cr25;TR loads CR
cr25;hu124;CR contains HU
cr25;hu127;CR contains HU
cr25;hu126;CR contains HU
cr25;hu125;CR contains HU
cr25;hu128;CR contains HU
cr25;hu129;CR contains HU
tr1;cr24;TR loads CR
cr24;hu130;CR contains HU
cr24;hu133;CR contains HU
cr24;hu131;CR contains HU
cr24;hu132;CR contains HU
cr24;hu134;CR contains HU
cr24;hu135;CR contains HU
tr1;cr26;TR loads CR
cr26;hu138;CR contains HU
cr26;hu139;CR contains HU
cr26;hu141;CR contains HU
cr26;hu136;CR contains HU
cr26;hu137;CR contains HU
cr26;hu140;CR contains HU
tr1;cr23;TR loads CR
cr23;hu144;CR contains HU
cr23;hu142;CR contains HU
cr23;hu145;CR contains HU
