ocel_id;ocel_time;ocel_changed_field;Amount of Containers;Status
td1;2023-05-23 01:31:43;;4
td1;2023-05-23 06:01:20;Status;;in transit
td2;2023-05-23 08:28:57;;5
td2;2023-05-23 14:59:45;Status;;in transit
td3;2023-05-24 00:53:55;;4
td3;2023-05-24 08:29:32;Status;;in transit
td4;2023-05-24 08:31:47;;5
td4;2023-05-24 18:57:52;Status;;in transit
td5;2023-05-25 01:05:56;;4
td6;2023-05-25 08:50:39;;5
td5;2023-05-25 10:17:15;Status;;in transit
td6;2023-05-25 22:20:15;Status;;in transit
td7;2023-05-26 02:17:47;;5
td8;2023-05-26 07:06:56;;5
td9;2023-05-27 03:33:58;;5
td8;2023-05-27 04:06:52;Status;;in transit
td7;2023-05-27 06:54:51;Status;;in transit
td9;2023-05-27 22:03:53;Status;;in transit
td10;2023-05-29 23:48:35;;2
td11;2023-05-30 06:05:54;;4
td10;2023-05-30 08:33:22;Status;;in transit
td11;2023-05-30 20:16:48;Status;;in transit
td12;2023-05-30 22:24:50;;5
td13;2023-05-31 03:49:30;;4
td14;2023-05-31 23:51:23;;4
td12;2023-06-01 01:58:40;Status;;in transit
td15;2023-06-01 05:14:24;;5
td16;2023-06-01 23:23:13;;4
td17;2023-06-02 06:34:32;;2
td11;2023-06-02 11:00:00;Status;;shipped
td15;2023-06-02 21:01:35;Status;;in transit
td18;2023-06-03 02:54:11;;4
td16;2023-06-03 08:13:15;Status;;in transit
td14;2023-06-03 12:05:17;Status;;in transit
td13;2023-06-03 19:32:37;Status;;in transit
td18;2023-06-04 08:49:34;Status;;in transit
td17;2023-06-04 13:22:19;Status;;in transit
td19;2023-06-05 22:34:12;;3
td20;2023-06-06 04:01:07;;4
td19;2023-06-06 10:17:30;Status;;in transit
td1;2023-06-06 11:00:00;Status;;shipped
td4;2023-06-06 11:00:00;Status;;shipped
td6;2023-06-06 11:00:00;Status;;shipped
td16;2023-06-06 11:00:00;Status;;shipped
td3;2023-06-06 11:00:00;Status;;shipped
td13;2023-06-06 11:00:00;Status;;shipped
td20;2023-06-06 23:12:38;Status;;in transit
td21;2023-06-06 23:20:49;;3
td22;2023-06-07 03:11:30;;4
td21;2023-06-07 13:16:38;Status;;in transit
td23;2023-06-07 23:27:14;;4
td22;2023-06-08 04:03:20;Status;;in transit
td24;2023-06-08 04:05:10;;4
td25;2023-06-08 23:06:38;;2
td26;2023-06-09 03:51:36;;2
td24;2023-06-09 07:25:13;Status;;in transit
td7;2023-06-09 11:00:00;Status;;shipped
td26;2023-06-09 13:47:58;Status;;in transit
td23;2023-06-09 21:36:31;Status;;in transit
td27;2023-06-09 23:26:21;;2
td25;2023-06-10 02:04:17;Status;;in transit
td27;2023-06-10 10:32:21;Status;;in transit
td28;2023-06-12 21:19:06;;4
td29;2023-06-13 02:20:42;;3
td20;2023-06-13 11:00:00;Status;;shipped
td12;2023-06-13 11:00:00;Status;;shipped
td5;2023-06-13 11:00:00;Status;;shipped
td30;2023-06-13 19:13:35;;3
td28;2023-06-13 23:44:27;Status;;in transit
td31;2023-06-14 01:57:07;;5
td29;2023-06-14 11:21:36;Status;;in transit
td30;2023-06-14 16:00:16;Status;;in transit
td32;2023-06-14 21:04:20;;4
td33;2023-06-15 03:11:28;;4
td34;2023-06-15 20:54:43;;2
td35;2023-06-16 03:00:03;;3
td34;2023-06-16 09:43:02;Status;;in transit
td9;2023-06-16 11:00:00;Status;;shipped
td15;2023-06-16 11:00:00;Status;;shipped
td8;2023-06-16 11:00:00;Status;;shipped
td14;2023-06-16 11:00:00;Status;;shipped
td2;2023-06-16 11:00:00;Status;;shipped
td36;2023-06-16 21:37:18;;3
td33;2023-06-16 22:32:18;Status;;in transit
td32;2023-06-17 06:49:07;Status;;in transit
td37;2023-06-17 07:15:58;;3
td36;2023-06-18 02:12:13;Status;;in transit
td37;2023-06-18 06:48:06;Status;;in transit
td35;2023-06-18 11:15:44;Status;;in transit
td31;2023-06-18 16:05:52;Status;;in transit
td38;2023-06-20 01:09:44;;4
td39;2023-06-20 07:26:44;;2
td17;2023-06-20 11:00:00;Status;;shipped
td21;2023-06-20 11:00:00;Status;;shipped
td26;2023-06-20 11:00:00;Status;;shipped
td18;2023-06-20 11:00:00;Status;;shipped
td23;2023-06-20 11:00:00;Status;;shipped
td38;2023-06-20 18:27:19;Status;;in transit
td40;2023-06-21 01:04:55;;3
td39;2023-06-21 01:36:48;Status;;in transit
td41;2023-06-21 09:01:52;;4
td40;2023-06-21 16:07:58;Status;;in transit
td42;2023-06-22 02:05:25;;3
td41;2023-06-22 07:44:57;Status;;in transit
td42;2023-06-22 15:03:32;Status;;in transit
td43;2023-06-22 19:42:53;;4
td44;2023-06-23 02:33:50;;4
td10;2023-06-23 11:00:00;Status;;shipped
td38;2023-06-23 11:00:00;Status;;shipped
td33;2023-06-23 11:00:00;Status;;shipped
td32;2023-06-23 11:00:00;Status;;shipped
td34;2023-06-23 11:00:00;Status;;shipped
td24;2023-06-23 11:00:00;Status;;shipped
td29;2023-06-23 11:00:00;Status;;shipped
td31;2023-06-23 11:00:00;Status;;shipped
td25;2023-06-23 11:00:00;Status;;shipped
td22;2023-06-23 11:00:00;Status;;shipped
td43;2023-06-23 13:28:17;Status;;in transit
td44;2023-06-23 19:08:15;Status;;in transit
td45;2023-06-23 21:28:58;;5
td46;2023-06-24 05:31:38;;2
td46;2023-06-24 19:36:59;Status;;in transit
td45;2023-06-24 21:33:25;Status;;in transit
td47;2023-06-27 01:09:56;;4
td48;2023-06-27 07:16:28;;3
td35;2023-06-27 11:00:00;Status;;shipped
td28;2023-06-27 11:00:00;Status;;shipped
td36;2023-06-27 11:00:00;Status;;shipped
td30;2023-06-27 11:00:00;Status;;shipped
td47;2023-06-27 20:45:37;Status;;in transit
td48;2023-06-27 22:24:27;Status;;in transit
td49;2023-06-28 00:22:10;;3
td50;2023-06-28 05:18:08;;5
td51;2023-06-29 00:11:48;;5
td50;2023-06-29 01:57:06;Status;;in transit
td49;2023-06-29 05:38:09;Status;;in transit
td52;2023-06-29 06:58:06;;1
td52;2023-06-29 16:31:36;Status;;in transit
td53;2023-06-30 00:20:44;;1
td51;2023-06-30 03:38:57;Status;;in transit
td54;2023-06-30 06:37:03;;4
td53;2023-06-30 07:22:15;Status;;in transit
td19;2023-06-30 11:00:00;Status;;shipped
td54;2023-07-01 00:27:10;Status;;in transit
td55;2023-07-01 01:52:45;;2
td55;2023-07-01 11:51:15;Status;;in transit
td56;2023-07-03 23:26:05;;2
td57;2023-07-04 03:20:38;;3
td56;2023-07-04 08:07:55;Status;;in transit
td53;2023-07-04 11:00:00;Status;;shipped
td42;2023-07-04 11:00:00;Status;;shipped
td47;2023-07-04 11:00:00;Status;;shipped
td39;2023-07-04 11:00:00;Status;;shipped
td43;2023-07-04 11:00:00;Status;;shipped
td57;2023-07-04 16:39:58;Status;;in transit
td58;2023-07-04 22:34:44;;3
td59;2023-07-05 03:28:37;;4
td58;2023-07-05 15:26:00;Status;;in transit
td60;2023-07-05 23:43:30;;3
td59;2023-07-06 00:39:54;Status;;in transit
td61;2023-07-06 05:21:29;;5
td60;2023-07-06 10:02:22;Status;;in transit
td62;2023-07-06 23:13:08;;4
td61;2023-07-07 00:14:49;Status;;in transit
td63;2023-07-07 06:14:50;;1
td46;2023-07-07 11:00:00;Status;;shipped
td44;2023-07-07 11:00:00;Status;;shipped
td49;2023-07-07 11:00:00;Status;;shipped
td27;2023-07-07 11:00:00;Status;;shipped
td41;2023-07-07 11:00:00;Status;;shipped
td37;2023-07-07 11:00:00;Status;;shipped
td63;2023-07-07 15:55:04;Status;;in transit
td62;2023-07-07 19:18:52;Status;;in transit
td64;2023-07-08 00:44:11;;4
td64;2023-07-08 18:37:24;Status;;in transit
td65;2023-07-10 22:24:22;;2
td66;2023-07-11 02:47:40;;3
td65;2023-07-11 09:38:43;Status;;in transit
td40;2023-07-11 11:00:00;Status;;shipped
td66;2023-07-11 19:21:28;Status;;in transit
td67;2023-07-11 21:42:47;;2
td68;2023-07-12 04:02:43;;3
td67;2023-07-12 07:41:43;Status;;in transit
td68;2023-07-12 19:25:30;Status;;in transit
td69;2023-07-12 21:18:11;;5
td70;2023-07-13 04:41:41;;5
td71;2023-07-13 22:48:13;;4
td72;2023-07-14 03:55:29;;3
td55;2023-07-14 11:00:00;Status;;shipped
td45;2023-07-14 11:00:00;Status;;shipped
td73;2023-07-15 01:12:59;;4
td69;2023-07-15 07:20:40;Status;;in transit
td73;2023-07-16 16:08:05;Status;;in transit
td71;2023-07-16 21:32:56;Status;;in transit
td72;2023-07-17 03:06:36;Status;;in transit
td70;2023-07-17 08:15:08;Status;;in transit
td74;2023-07-17 20:59:23;;3
td75;2023-07-18 03:50:51;;3
td52;2023-07-18 11:00:00;Status;;shipped
td48;2023-07-18 11:00:00;Status;;shipped
td51;2023-07-18 11:00:00;Status;;shipped
td76;2023-07-18 21:14:32;;2
td75;2023-07-18 21:44:47;Status;;in transit
td74;2023-07-19 03:02:22;Status;;in transit
td77;2023-07-19 03:30:18;;3
td76;2023-07-19 18:09:55;Status;;in transit
td78;2023-07-19 21:46:03;;4
td77;2023-07-20 01:28:04;Status;;in transit
td79;2023-07-20 04:36:53;;2
td78;2023-07-20 17:39:56;Status;;in transit
td79;2023-07-20 21:16:09;Status;;in transit
td80;2023-07-20 23:24:42;;5
td81;2023-07-21 04:37:51;;3
td54;2023-07-21 11:00:00;Status;;shipped
td56;2023-07-21 11:00:00;Status;;shipped
td65;2023-07-21 11:00:00;Status;;shipped
td60;2023-07-21 11:00:00;Status;;shipped
td66;2023-07-21 11:00:00;Status;;shipped
td64;2023-07-21 11:00:00;Status;;shipped
td50;2023-07-21 11:00:00;Status;;shipped
td57;2023-07-21 11:00:00;Status;;shipped
td62;2023-07-21 11:00:00;Status;;shipped
td82;2023-07-21 23:42:23;;2
td80;2023-07-22 05:59:51;Status;;in transit
td82;2023-07-22 13:31:41;Status;;in transit
td81;2023-07-22 18:04:17;Status;;in transit
td83;2023-07-24 19:21:27;;4
td84;2023-07-25 02:23:37;;5
td75;2023-07-25 11:00:00;Status;;shipped
td67;2023-07-25 11:00:00;Status;;shipped
td72;2023-07-25 11:00:00;Status;;shipped
td85;2023-07-25 20:54:19;;3
td83;2023-07-26 00:34:57;Status;;in transit
td86;2023-07-26 02:37:20;;4
td87;2023-07-26 20:37:45;;4
td88;2023-07-27 02:09:26;;2
td88;2023-07-27 15:21:59;Status;;in transit
