0,1,2,3
place_o-990001,PlaceOrder,2023-04-03 12:08:18,1
confirm_o-990001,ConfirmOrder,2023-04-04 22:23:19,1
pick_i-880003,PickItem,2023-04-05 02:36:45,1
pick_i-880002,PickItem,2023-04-05 02:53:47,1
pick_i-880001,PickItem,2023-04-05 03:14:41,1
reminder_o-990001_1,PaymentReminder,2023-04-05 15:34:26,1
pay_o-990001,PayOrder,2023-04-06 16:55:07,1
create_p-660003,CreatePackage,2023-04-10 21:22:33,1
send_p-660003,SendPackage,2023-04-11 02:10:18,1
deliver_p-660003,PackageDelivered,2023-04-12 08:39:28,1
place_o-990002,PlaceOrder,2023-04-03 16:36:55,2
confirm_o-990002,ConfirmOrder,2023-04-05 00:49:56,2
pick_i-880004,PickItem,2023-04-05 02:36:11,2
reminder_o-990002_2,PaymentReminder,2023-04-05 16:08:43,2
pay_o-990002,PayOrder,2023-04-07 19:15:41,2
create_p-660002,CreatePackage,2023-04-10 20:58:57,2
send_p-660002,SendPackage,2023-04-11 01:37:15,2
fail_p-660002_1,FailedDelivery,2023-04-12 21:59:43,2
deliver_p-660002,PackageDelivered,2023-04-14 18:32:54,2
place_o-990003,PlaceOrder,2023-04-03 23:31:23,3
pick_i-880008,PickItem,2023-04-05 02:29:53,3
pick_i-880006,PickItem,2023-04-05 02:31:29,3
pick_i-880005,PickItem,2023-04-05 02:41:13,3
pick_i-880007,PickItem,2023-04-05 02:57:29,3
confirm_o-990003,ConfirmOrder,2023-04-05 09:25:10,3
pay_o-990003,PayOrder,2023-04-06 00:27:33,3
create_p-660001,CreatePackage,2023-04-08 01:00:00,3
send_p-660001,SendPackage,2023-04-08 05:38:27,3
deliver_p-660001,PackageDelivered,2023-04-09 15:52:57,3
place_o-990004,PlaceOrder,2023-04-04 12:30:50,4
out_of_stock_i-880009,ItemOutOfStock,2023-04-05 11:38:55,4
reorder_i-880009,ReorderItem,2023-04-05 22:39:37,4
confirm_o-990004,ConfirmOrder,2023-04-06 00:19:54,4
pick_i-880009,PickItem,2023-04-06 05:22:31,4
pay_o-990004,PayOrder,2023-04-07 01:22:28,4
create_p-660007,CreatePackage,2023-04-13 15:11:04,4
send_p-660007,SendPackage,2023-04-13 20:39:37,4
deliver_p-660007,PackageDelivered,2023-04-15 05:54:31,4
place_o-990005,PlaceOrder,2023-04-04 17:21:59,5
pick_i-880012,PickItem,2023-04-05 02:36:51,5
pick_i-880014,PickItem,2023-04-05 02:43:19,5
pick_i-880013,PickItem,2023-04-05 02:50:59,5
pick_i-880010,PickItem,2023-04-05 02:57:57,5
pick_i-880011,PickItem,2023-04-05 02:59:53,5
out_of_stock_i-880015,ItemOutOfStock,2023-04-05 13:20:43,5
confirm_o-990005,ConfirmOrder,2023-04-06 01:08:19,5
reorder_i-880015,ReorderItem,2023-04-06 01:10:13,5
pick_i-880015,PickItem,2023-04-06 07:33:29,5
pay_o-990005,PayOrder,2023-04-07 04:06:47,5
create_p-660004,CreatePackage,2023-04-11 06:39:43,5
send_p-660004,SendPackage,2023-04-11 11:26:42,5
deliver_p-660004,PackageDelivered,2023-04-12 20:26:44,5
place_o-990006,PlaceOrder,2023-04-05 06:24:56,6
pick_i-880016,PickItem,2023-04-05 10:55:12,6
pick_i-880017,PickItem,2023-04-05 11:08:36,6
confirm_o-990006,ConfirmOrder,2023-04-06 19:59:04,6
reminder_o-990006_3,PaymentReminder,2023-04-08 04:29:50,6
pay_o-990006,PayOrder,2023-04-09 05:57:18,6
create_p-660005,CreatePackage,2023-04-13 00:39:09,6
send_p-660005,SendPackage,2023-04-13 05:45:36,6
deliver_p-660005,PackageDelivered,2023-04-14 13:08:28,6
place_o-990007,PlaceOrder,2023-04-05 13:05:45,7
pick_i-880019,PickItem,2023-04-05 17:05:51,7
pick_i-880018,PickItem,2023-04-05 17:31:21,7
pick_i-880022,PickItem,2023-04-05 17:42:11,7
pick_i-880021,PickItem,2023-04-05 17:54:53,7
pick_i-880020,PickItem,2023-04-05 17:57:45,7
out_of_stock_i-880023,ItemOutOfStock,2023-04-06 01:45:49,7
reorder_i-880023,ReorderItem,2023-04-06 11:57:21,7
pick_i-880023,PickItem,2023-04-06 18:11:39,7
confirm_o-990007,ConfirmOrder,2023-04-06 22:15:30,7
pay_o-990007,PayOrder,2023-04-08 02:13:12,7
create_p-660006,CreatePackage,2023-04-13 01:00:00,7
send_p-660006,SendPackage,2023-04-13 06:16:00,7
deliver_p-660006,PackageDelivered,2023-04-14 13:22:05,7
place_o-990008,PlaceOrder,2023-04-05 17:31:49,8
pick_i-880024,PickItem,2023-04-05 21:42:57,8
pick_i-880025,PickItem,2023-04-05 21:56:05,8
confirm_o-990008,ConfirmOrder,2023-04-07 02:07:01,8
pay_o-990008,PayOrder,2023-04-08 19:11:04,8
create_p-660004,CreatePackage,2023-04-11 06:39:43,8
send_p-660004,SendPackage,2023-04-11 11:26:42,8
deliver_p-660004,PackageDelivered,2023-04-12 20:26:44,8
place_o-990009,PlaceOrder,2023-04-06 08:13:07,9
pick_i-880026,PickItem,2023-04-06 12:21:37,9
pick_i-880028,PickItem,2023-04-06 12:34:29,9
pick_i-880027,PickItem,2023-04-06 12:49:43,9
confirm_o-990009,ConfirmOrder,2023-04-07 21:38:30,9
pay_o-990009,PayOrder,2023-04-08 11:39:30,9
create_p-660008,CreatePackage,2023-04-13 15:49:25,9
send_p-660008,SendPackage,2023-04-13 21:15:04,9
deliver_p-660008,PackageDelivered,2023-04-15 04:17:23,9
place_o-990010,PlaceOrder,2023-04-06 13:09:59,10
pick_i-880030,PickItem,2023-04-06 17:19:33,10
pick_i-880031,PickItem,2023-04-06 17:20:31,10
out_of_stock_i-880029,ItemOutOfStock,2023-04-06 19:47:15,10
reorder_i-880029,ReorderItem,2023-04-07 07:14:25,10
pick_i-880029,PickItem,2023-04-07 16:34:34,10
confirm_o-990010,ConfirmOrder,2023-04-07 22:19:50,10
reminder_o-990010_4,PaymentReminder,2023-04-08 14:58:40,10
reminder_o-990010_7,PaymentReminder,2023-04-10 01:30:54,10
pay_o-990010,PayOrder,2023-04-12 02:59:40,10
create_p-660009,CreatePackage,2023-04-14 15:04:53,10
send_p-660009,SendPackage,2023-04-14 20:15:38,10
deliver_p-660009,PackageDelivered,2023-04-16 05:40:35,10
place_o-990011,PlaceOrder,2023-04-06 17:40:17,11
pick_i-880032,PickItem,2023-04-06 19:45:55,11
pick_i-880035,PickItem,2023-04-06 19:59:21,11
pick_i-880033,PickItem,2023-04-06 22:23:29,11
pick_i-880034,PickItem,2023-04-06 22:30:47,11
confirm_o-990011,ConfirmOrder,2023-04-08 02:31:12,11
reminder_o-990011_5,PaymentReminder,2023-04-08 20:09:56,11
reminder_o-990011_6,PaymentReminder,2023-04-09 13:06:33,11
pay_o-990011,PayOrder,2023-04-11 16:20:03,11
create_p-660010,CreatePackage,2023-04-15 02:39:01,11
send_p-660010,SendPackage,2023-04-15 07:46:56,11
fail_p-660010_2,FailedDelivery,2023-04-16 21:40:57,11
deliver_p-660010,PackageDelivered,2023-04-18 17:23:48,11
place_o-990012,PlaceOrder,2023-04-07 08:53:28,12
pick_i-880036,PickItem,2023-04-07 11:20:06,12
pick_i-880037,PickItem,2023-04-07 15:51:16,12
confirm_o-990012,ConfirmOrder,2023-04-08 20:18:26,12
pay_o-990012,PayOrder,2023-04-10 11:33:50,12
create_p-660010,CreatePackage,2023-04-15 02:39:01,12
send_p-660010,SendPackage,2023-04-15 07:46:56,12
fail_p-660010_2,FailedDelivery,2023-04-16 21:40:57,12
deliver_p-660010,PackageDelivered,2023-04-18 17:23:48,12
place_o-990013,PlaceOrder,2023-04-07 14:10:31,13
pick_i-880038,PickItem,2023-04-07 16:23:23,13
pick_i-880041,PickItem,2023-04-07 16:28:11,13
pick_i-880040,PickItem,2023-04-07 20:42:52,13
pick_i-880042,PickItem,2023-04-07 21:24:10,13
pick_i-880045,PickItem,2023-04-07 21:26:37,13
out_of_stock_i-880044,ItemOutOfStock,2023-04-07 21:39:28,13
reorder_i-880044,ReorderItem,2023-04-08 08:08:40,13
out_of_stock_i-880043,ItemOutOfStock,2023-04-08 11:06:16,13
out_of_stock_i-880039,ItemOutOfStock,2023-04-08 11:36:01,13
pick_i-880044,PickItem,2023-04-08 14:42:16,13
