0,1,2,3
place_o-990001,PlaceOrder,2023-04-03 12:08:18,1
confirm_o-990001,ConfirmOrder,2023-04-05 05:03:16,1
pick_i-880002,PickItem,2023-04-05 06:49:08,1
pick_i-880008,PickItem,2023-04-05 07:29:36,1
pick_i-880001,PickItem,2023-04-05 07:34:16,1
pick_i-880004,PickItem,2023-04-05 07:52:34,1
pick_i-880003,PickItem,2023-04-05 08:20:20,1
out_of_stock_i-880007,ItemOutOfStock,2023-04-05 17:16:36,1
out_of_stock_i-880006,ItemOutOfStock,2023-04-05 17:25:50,1
out_of_stock_i-880005,ItemOutOfStock,2023-04-05 18:21:42,1
pay_o-990001,PayOrder,2023-04-05 19:04:10,1
out_of_stock_i-880009,ItemOutOfStock,2023-04-05 19:39:28,1
reorder_i-880009,ReorderItem,2023-04-06 00:46:14,1
reorder_i-880006,ReorderItem,2023-04-06 03:42:02,1
pick_i-880009,PickItem,2023-04-06 06:24:46,1
pick_i-880006,PickItem,2023-04-06 09:50:34,1
reorder_i-880007,ReorderItem,2023-04-06 15:29:02,1
pick_i-880007,PickItem,2023-04-06 20:52:52,1
reorder_i-880005,ReorderItem,2023-04-07 17:38:43,1
pick_i-880005,PickItem,2023-04-08 00:14:59,1
create_p-660003,CreatePackage,2023-04-11 17:34:03,1
send_p-660003,SendPackage,2023-04-11 22:02:34,1
deliver_p-660003,PackageDelivered,2023-04-13 01:32:46,1
place_o-990002,PlaceOrder,2023-04-03 16:36:55,2
confirm_o-990002,ConfirmOrder,2023-04-05 03:09:52,2
pick_i-880016,PickItem,2023-04-05 07:00:08,2
pick_i-880014,PickItem,2023-04-05 07:24:50,2
pick_i-880015,PickItem,2023-04-05 07:27:02,2
pick_i-880021,PickItem,2023-04-05 07:38:52,2
pick_i-880017,PickItem,2023-04-05 07:44:10,2
pick_i-880018,PickItem,2023-04-05 07:45:36,2
pick_i-880013,PickItem,2023-04-05 07:45:52,2
pick_i-880010,PickItem,2023-04-05 08:01:24,2
pick_i-880019,PickItem,2023-04-05 08:06:16,2
out_of_stock_i-880012,ItemOutOfStock,2023-04-05 16:14:06,2
out_of_stock_i-880020,ItemOutOfStock,2023-04-05 17:56:04,2
out_of_stock_i-880011,ItemOutOfStock,2023-04-05 17:58:46,2
reminder_o-990002_1,PaymentReminder,2023-04-05 22:10:15,2
reorder_i-880012,ReorderItem,2023-04-06 03:17:52,2
reorder_i-880011,ReorderItem,2023-04-06 04:00:38,2
pick_i-880012,PickItem,2023-04-06 06:48:47,2
pick_i-880011,PickItem,2023-04-06 10:18:08,2
pay_o-990002,PayOrder,2023-04-06 20:08:49,2
reorder_i-880020,ReorderItem,2023-04-07 08:22:06,2
pick_i-880020,PickItem,2023-04-07 20:05:34,2
create_p-660002,CreatePackage,2023-04-08 01:00:00,2
send_p-660002,SendPackage,2023-04-08 06:20:11,2
deliver_p-660002,PackageDelivered,2023-04-09 22:00:53,2
place_o-990003,PlaceOrder,2023-04-03 23:31:23,3
pick_i-880022,PickItem,2023-04-05 06:44:26,3
pick_i-880023,PickItem,2023-04-05 08:25:54,3
confirm_o-990003,ConfirmOrder,2023-04-05 09:43:24,3
pay_o-990003,PayOrder,2023-04-05 22:15:09,3
create_p-660001,CreatePackage,2023-04-08 00:14:59,3
send_p-660001,SendPackage,2023-04-08 05:59:28,3
deliver_p-660001,PackageDelivered,2023-04-09 18:30:47,3
place_o-990004,PlaceOrder,2023-04-04 12:30:50,4
pick_i-880025,PickItem,2023-04-05 06:47:26,4
pick_i-880026,PickItem,2023-04-05 08:26:58,4
pick_i-880024,PickItem,2023-04-05 08:27:46,4
confirm_o-990004,ConfirmOrder,2023-04-06 03:30:52,4
pay_o-990004,PayOrder,2023-04-06 16:25:36,4
create_p-660002,CreatePackage,2023-04-08 01:00:00,4
send_p-660002,SendPackage,2023-04-08 06:20:11,4
deliver_p-660002,PackageDelivered,2023-04-09 22:00:53,4
place_o-990005,PlaceOrder,2023-04-04 17:21:59,5
pick_i-880027,PickItem,2023-04-05 07:11:46,5
pick_i-880029,PickItem,2023-04-05 07:18:00,5
pick_i-880028,PickItem,2023-04-05 07:55:08,5
confirm_o-990005,ConfirmOrder,2023-04-05 22:35:58,5
pay_o-990005,PayOrder,2023-04-06 12:03:07,5
create_p-660004,CreatePackage,2023-04-12 22:37:39,5
send_p-660004,SendPackage,2023-04-13 03:43:41,5
fail_p-660004_2,FailedDelivery,2023-04-15 02:31:41,5
fail_p-660004_3,FailedDelivery,2023-04-16 12:19:59,5
deliver_p-660004,PackageDelivered,2023-04-18 10:02:37,5
place_o-990006,PlaceOrder,2023-04-05 06:24:56,6
pick_i-880036,PickItem,2023-04-05 10:19:20,6
pick_i-880032,PickItem,2023-04-05 10:58:26,6
pick_i-880035,PickItem,2023-04-05 11:15:20,6
pick_i-880034,PickItem,2023-04-05 11:30:08,6
pick_i-880031,PickItem,2023-04-05 11:44:24,6
out_of_stock_i-880033,ItemOutOfStock,2023-04-05 17:43:46,6
out_of_stock_i-880030,ItemOutOfStock,2023-04-05 18:33:30,6
reorder_i-880033,ReorderItem,2023-04-06 02:49:50,6
pick_i-880033,PickItem,2023-04-06 08:47:36,6
confirm_o-990006,ConfirmOrder,2023-04-06 15:29:02,6
reorder_i-880030,ReorderItem,2023-04-07 03:39:50,6
pick_i-880030,PickItem,2023-04-07 11:58:08,6
reminder_o-990006_2,PaymentReminder,2023-04-07 22:04:36,6
reminder_o-990006_3,PaymentReminder,2023-04-08 15:36:55,6
pay_o-990006,PayOrder,2023-04-09 17:31:53,6
create_p-660005,CreatePackage,2023-04-13 01:00:00,6
send_p-660005,SendPackage,2023-04-13 05:27:12,6
fail_p-660005_1,FailedDelivery,2023-04-14 20:27:13,6
deliver_p-660005,PackageDelivered,2023-04-16 15:50:48,6
place_o-990007,PlaceOrder,2023-04-05 13:05:45,7
pick_i-880041,PickItem,2023-04-05 17:29:35,7
pick_i-880039,PickItem,2023-04-05 17:31:57,7
pick_i-880040,PickItem,2023-04-05 17:36:57,7
pick_i-880037,PickItem,2023-04-05 18:08:25,7
out_of_stock_i-880038,ItemOutOfStock,2023-04-06 15:29:02,7
confirm_o-990007,ConfirmOrder,2023-04-07 03:39:50,7
reorder_i-880038,ReorderItem,2023-04-07 15:16:46,7
pick_i-880038,PickItem,2023-04-07 20:49:36,7
pay_o-990007,PayOrder,2023-04-08 23:44:41,7
create_p-660005,CreatePackage,2023-04-13 01:00:00,7
send_p-660005,SendPackage,2023-04-13 05:27:12,7
fail_p-660005_1,FailedDelivery,2023-04-14 20:27:13,7
deliver_p-660005,PackageDelivered,2023-04-16 15:50:48,7
place_o-990008,PlaceOrder,2023-04-05 17:31:49,8
pick_i-880043,PickItem,2023-04-05 21:25:35,8
pick_i-880042,PickItem,2023-04-05 22:13:51,8
pick_i-880045,PickItem,2023-04-05 22:21:29,8
pick_i-880044,PickItem,2023-04-05 22:22:27,8
confirm_o-990008,ConfirmOrder,2023-04-07 08:22:06,8
pay_o-990008,PayOrder,2023-04-09 12:51:50,8
create_p-660006,CreatePackage,2023-04-14 12:35:03,8
send_p-660006,SendPackage,2023-04-14 17:05:27,8
deliver_p-660006,PackageDelivered,2023-04-15 20:58:58,8
place_o-990009,PlaceOrder,2023-04-06 08:13:07,9
pick_i-880046,PickItem,2023-04-06 19:07:16,9
pick_i-880047,PickItem,2023-04-06 19:28:02,9
pick_i-880048,PickItem,2023-04-07 09:08:53,9
confirm_o-990009,ConfirmOrder,2023-04-07 15:16:46,9
pay_o-990009,PayOrder,2023-04-08 05:35:56,9
create_p-660007,CreatePackage,2023-04-14 18:33:45,9
send_p-660007,SendPackage,2023-04-14 22:37:54,9
deliver_p-660007,PackageDelivered,2023-04-16 07:29:04,9
place_o-990010,PlaceOrder,2023-04-06 13:09:59,10
pick_i-880049,PickItem,2023-04-07 11:26:41,10
confirm_o-990010,ConfirmOrder,2023-04-07 17:38:43,10
pay_o-990010,PayOrder,2023-04-08 09:08:02,10
create_p-660008,CreatePackage,2023-04-15 01:41:18,10
send_p-660008,SendPackage,2023-04-15 07:25:34,10
fail_p-660008_4,FailedDelivery,2023-04-17 08:02:49,10
fail_p-660008_5,FailedDelivery,2023-04-18 21:41:48,10
deliver_p-660008,PackageDelivered,2023-04-20 19:18:09,10
place_o-990011,PlaceOrder,2023-04-06 17:40:17,11
pick_i-880050,PickItem,2023-04-07 17:08:42,11
confirm_o-990011,ConfirmOrder,2023-04-08 00:03:09,11
reminder_o-990011_5,PaymentReminder,2023-04-10 20:46:33,11
