ocel_id;ocel_type
Lodge_Pcp1544;Lodge Pickup Plan
Lodge_Pcp1270;Lodge Pickup Plan
assign_trs_Pcp1544;Assign Truck
assign_trs_Pcp1544;Assign Truck
assign_trs_Pcp1544;Assign Truck
Lodge_Pcp1439;Lodge Pickup Plan
trs_entrytr20;Enter the port
trs_entrytr92;Enter the port
trs_entrytr127;Enter the port
weigh_empty_trucktr20;Weigh the Empty Truck
weigh_empty_trucktr92;Weigh the Empty Truck
weigh_empty_trucktr127;Weigh the Empty Truck
check_abnormalitytr20;Check Empty Truck Weight Abnormality
check_abnormalitytr127;Check Empty Truck Weight Abnormality
check_abnormalitytr92;Check Empty Truck Weight Abnormality
fail_weightr20;Fail to Weigh
fail_weightr127;Fail to Weigh
fail_weightr92;Fail to Weigh
Lodge_Pcp157;Lodge Pickup Plan
assign_trs_Pcp1270;Assign Truck
assign_trs_Pcp1270;Assign Truck
assign_trs_Pcp1270;Assign Truck
assign_trs_Pcp1270;Assign Truck
assign_trs_Pcp1270;Assign Truck
trs_entrytr158;Enter the port
trs_entrytr102;Enter the port
trs_entrytr190;Enter the port
trs_entrytr241;Enter the port
trs_entrytr191;Enter the port
weigh_empty_trucktr158;Weigh the Empty Truck
weigh_empty_trucktr190;Weigh the Empty Truck
weigh_empty_trucktr102;Weigh the Empty Truck
weigh_empty_trucktr241;Weigh the Empty Truck
weigh_empty_trucktr191;Weigh the Empty Truck
check_abnormalitytr158;Check Empty Truck Weight Abnormality
check_abnormalitytr241;Check Empty Truck Weight Abnormality
check_abnormalitytr102;Check Empty Truck Weight Abnormality
check_abnormalitytr190;Check Empty Truck Weight Abnormality
check_abnormalitytr191;Check Empty Truck Weight Abnormality
fail_weightr241;Fail to Weigh
fail_weightr158;Fail to Weigh
Lodge_Pcp1313;Lodge Pickup Plan
assign_trs_Pcp1439;Assign Truck
assign_trs_Pcp1439;Assign Truck
assign_trs_Pcp1439;Assign Truck
assign_trs_Pcp1439;Assign Truck
assign_trs_Pcp1439;Assign Truck
assign_trs_Pcp1439;Assign Truck
assign_trs_Pcp1439;Assign Truck
arrive_at_Silo36;Arrive at the Silo
arrive_at_Silo36;Arrive at the Silo
arrive_at_Silo36;Arrive at the Silo
determine_continuanceSilo36;Determine the Continuance of the Pickup
determine_continuanceSilo36;Determine the Continuance of the Pickup
load_trucktr102;Load Truck
load_trucktr190;Load Truck
trs_entrytr22;Enter the port
determine_continuanceSilo36;Determine the Continuance of the Pickup
trs_entrytr47;Enter the port
trs_entrytr269;Enter the port
trs_entrytr83;Enter the port
load_trucktr191;Load Truck
trs_entrytr40;Enter the port
weigh_empty_trucktr47;Weigh the Empty Truck
weigh_empty_trucktr22;Weigh the Empty Truck
trs_entrytr15;Enter the port
weigh_empty_trucktr269;Weigh the Empty Truck
weigh_empty_trucktr83;Weigh the Empty Truck
trs_entrytr193;Enter the port
weigh_empty_trucktr40;Weigh the Empty Truck
weigh_empty_trucktr193;Weigh the Empty Truck
weigh_empty_trucktr15;Weigh the Empty Truck
check_abnormalitytr47;Check Empty Truck Weight Abnormality
check_abnormalitytr22;Check Empty Truck Weight Abnormality
weigh_loaded_trucktr102;Weigh the Loaded Truck
weigh_loaded_trucktr190;Weigh the Loaded Truck
assign_trs_Pcp157;Assign Truck
check_abnormalitytr269;Check Empty Truck Weight Abnormality
check_abnormalitytr83;Check Empty Truck Weight Abnormality
check_abnormalitytr40;Check Empty Truck Weight Abnormality
assign_trs_Pcp157;Assign Truck
check_abnormalitytr193;Check Empty Truck Weight Abnormality
assign_trs_Pcp157;Assign Truck
assign_trs_Pcp157;Assign Truck
assign_trs_Pcp157;Assign Truck
assign_trs_Pcp157;Assign Truck
fail_weightr47;Fail to Weigh
weigh_loaded_trucktr191;Weigh the Loaded Truck
fail_weightr22;Fail to Weigh
fail_weightr269;Fail to Weigh
fail_weightr83;Fail to Weigh
fail_weightr193;Fail to Weigh
check_abnormalitytr15;Check Empty Truck Weight Abnormality
arrive_at_Silo13;Arrive at the Silo
fail_weightr15;Fail to Weigh
determine_continuanceSilo13;Determine the Continuance of the Pickup
print_w_tickettr102;Print the Weighing Ticket
input_tally_sheettr102;Input the Tally Sheet
input_tally_sheettr190;Input the Tally Sheet
print_w_tickettr190;Print the Weighing Ticket
load_trucktr40;Load Truck
eval_trs_exittr102_Pcp1270;Evaluate the Truck Exit
input_tally_sheettr191;Input the Tally Sheet
print_w_tickettr191;Print the Weighing Ticket
trs_entrytr289;Enter the port
eval_trs_exittr190_Pcp1270;Evaluate the Truck Exit
trs_entrytr285;Enter the port
assign_trs_Pcp1313;Assign Truck
assign_trs_Pcp1313;Assign Truck
assign_trs_Pcp1313;Assign Truck
trs_entrytr196;Enter the port
trs_entrytr51;Enter the port
weigh_empty_trucktr289;Weigh the Empty Truck
eval_trs_exittr191_Pcp1270;Evaluate the Truck Exit
weigh_empty_trucktr285;Weigh the Empty Truck
trs_entrytr55;Enter the port
trs_entrytr110;Enter the port
weigh_loaded_trucktr40;Weigh the Loaded Truck
weigh_empty_trucktr196;Weigh the Empty Truck
weigh_empty_trucktr51;Weigh the Empty Truck
weigh_empty_trucktr55;Weigh the Empty Truck
weigh_empty_trucktr110;Weigh the Empty Truck
check_abnormalitytr285;Check Empty Truck Weight Abnormality
check_abnormalitytr289;Check Empty Truck Weight Abnormality
check_abnormalitytr51;Check Empty Truck Weight Abnormality
check_abnormalitytr196;Check Empty Truck Weight Abnormality
check_abnormalitytr110;Check Empty Truck Weight Abnormality
check_abnormalitytr55;Check Empty Truck Weight Abnormality
trs_entrytr154;Enter the port
Lodge_Pcp217;Lodge Pickup Plan
fail_weightr289;Fail to Weigh
print_w_tickettr40;Print the Weighing Ticket
input_tally_sheettr40;Input the Tally Sheet
arrive_at_Silo7;Arrive at the Silo
trs_entrytr97;Enter the port
weigh_empty_trucktr154;Weigh the Empty Truck
trs_entrytr71;Enter the port
arrive_at_Silo7;Arrive at the Silo
eval_trs_exittr40_Pcp1439;Evaluate the Truck Exit
arrive_at_Silo7;Arrive at the Silo
determine_continuanceSilo7;Determine the Continuance of the Pickup
arrive_at_Silo7;Arrive at the Silo
arrive_at_Silo7;Arrive at the Silo
weigh_empty_trucktr97;Weigh the Empty Truck
weigh_empty_trucktr71;Weigh the Empty Truck
load_trucktr285;Load Truck
determine_continuanceSilo7;Determine the Continuance of the Pickup
determine_continuanceSilo7;Determine the Continuance of the Pickup
determine_continuanceSilo7;Determine the Continuance of the Pickup
load_trucktr51;Load Truck
check_abnormalitytr154;Check Empty Truck Weight Abnormality
determine_continuanceSilo7;Determine the Continuance of the Pickup
load_trucktr196;Load Truck
check_abnormalitytr97;Check Empty Truck Weight Abnormality
check_abnormalitytr71;Check Empty Truck Weight Abnormality
load_trucktr110;Load Truck
load_trucktr55;Load Truck
fail_weightr71;Fail to Weigh
arrive_at_Silo46;Arrive at the Silo
arrive_at_Silo46;Arrive at the Silo
determine_continuanceSilo46;Determine the Continuance of the Pickup
determine_continuanceSilo46;Determine the Continuance of the Pickup
load_trucktr97;Load Truck
load_trucktr154;Load Truck
weigh_loaded_trucktr285;Weigh the Loaded Truck
weigh_loaded_trucktr196;Weigh the Loaded Truck
weigh_loaded_trucktr51;Weigh the Loaded Truck
weigh_loaded_trucktr110;Weigh the Loaded Truck
weigh_loaded_trucktr55;Weigh the Loaded Truck
print_w_tickettr285;Print the Weighing Ticket
input_tally_sheettr285;Input the Tally Sheet
weigh_loaded_trucktr97;Weigh the Loaded Truck
input_tally_sheettr196;Input the Tally Sheet
print_w_tickettr196;Print the Weighing Ticket
weigh_loaded_trucktr154;Weigh the Loaded Truck
eval_trs_exittr285_Pcp157;Evaluate the Truck Exit
print_w_tickettr51;Print the Weighing Ticket
input_tally_sheettr51;Input the Tally Sheet
