ocel_event_id;ocel_object_id;ocel_qualifier
Lodge_Pcp1544;Pcp1544;lodged pickup plan
Lodge_Pcp1544;Cr1778;cargo to be picked up
Lodge_Pcp1270;Pcp1270;lodged pickup plan
Lodge_Pcp1270;Cr1249;cargo to be picked up
assign_trs_Pcp1544;tr20;Pickup plan trucks assignment
assign_trs_Pcp1544;tr127;Pickup plan trucks assignment
assign_trs_Pcp1544;tr92;Pickup plan trucks assignment
Lodge_Pcp1439;Pcp1439;lodged pickup plan
Lodge_Pcp1439;Cr454;cargo to be picked up
trs_entrytr20;tr20;Entry evaluation for truck
trs_entrytr92;tr92;Entry evaluation for truck
trs_entrytr127;tr127;Entry evaluation for truck
weigh_empty_trucktr20;tr20;Empty truck weighed
weigh_empty_trucktr92;tr92;Empty truck weighed
weigh_empty_trucktr127;tr127;Empty truck weighed
check_abnormalitytr20;tr20;truck exmained for empty weight abnormality
check_abnormalitytr127;tr127;truck exmained for empty weight abnormality
check_abnormalitytr92;tr92;truck exmained for empty weight abnormality
fail_weightr20;tr20;Truck failed to be weighed
fail_weightr127;tr127;Truck failed to be weighed
fail_weightr92;tr92;Truck failed to be weighed
Lodge_Pcp157;Pcp157;lodged pickup plan
Lodge_Pcp157;Cr1033;cargo to be picked up
assign_trs_Pcp1270;tr102;Pickup plan trucks assignment
assign_trs_Pcp1270;tr190;Pickup plan trucks assignment
assign_trs_Pcp1270;tr158;Pickup plan trucks assignment
assign_trs_Pcp1270;tr241;Pickup plan trucks assignment
assign_trs_Pcp1270;tr191;Pickup plan trucks assignment
trs_entrytr158;tr158;Entry evaluation for truck
trs_entrytr102;tr102;Entry evaluation for truck
trs_entrytr190;tr190;Entry evaluation for truck
trs_entrytr241;tr241;Entry evaluation for truck
trs_entrytr191;tr191;Entry evaluation for truck
weigh_empty_trucktr158;tr158;Empty truck weighed
weigh_empty_trucktr190;tr190;Empty truck weighed
weigh_empty_trucktr102;tr102;Empty truck weighed
weigh_empty_trucktr241;tr241;Empty truck weighed
weigh_empty_trucktr191;tr191;Empty truck weighed
check_abnormalitytr158;tr158;truck exmained for empty weight abnormality
check_abnormalitytr241;tr241;truck exmained for empty weight abnormality
check_abnormalitytr102;tr102;truck exmained for empty weight abnormality
check_abnormalitytr190;tr190;truck exmained for empty weight abnormality
check_abnormalitytr191;tr191;truck exmained for empty weight abnormality
fail_weightr241;tr241;Truck failed to be weighed
fail_weightr158;tr158;Truck failed to be weighed
Lodge_Pcp1313;Pcp1313;lodged pickup plan
Lodge_Pcp1313;Cr1185;cargo to be picked up
assign_trs_Pcp1439;tr22;Pickup plan trucks assignment
assign_trs_Pcp1439;tr40;Pickup plan trucks assignment
assign_trs_Pcp1439;tr269;Pickup plan trucks assignment
assign_trs_Pcp1439;tr47;Pickup plan trucks assignment
assign_trs_Pcp1439;tr15;Pickup plan trucks assignment
assign_trs_Pcp1439;tr193;Pickup plan trucks assignment
assign_trs_Pcp1439;tr83;Pickup plan trucks assignment
arrive_at_Silo36;Silo36;Silo for truck load
arrive_at_Silo36;Silo36;Silo for truck load
arrive_at_Silo36;Silo36;Silo for truck load
determine_continuanceSilo36;Silo36;silo evaluated for pickup continuance
determine_continuanceSilo36;Silo36;silo evaluated for pickup continuance
load_trucktr102;tr102;cargo load for truck
load_trucktr190;tr190;cargo load for truck
trs_entrytr22;tr22;Entry evaluation for truck
determine_continuanceSilo36;Silo36;silo evaluated for pickup continuance
trs_entrytr47;tr47;Entry evaluation for truck
trs_entrytr269;tr269;Entry evaluation for truck
trs_entrytr83;tr83;Entry evaluation for truck
load_trucktr191;tr191;cargo load for truck
trs_entrytr40;tr40;Entry evaluation for truck
weigh_empty_trucktr47;tr47;Empty truck weighed
weigh_empty_trucktr22;tr22;Empty truck weighed
trs_entrytr15;tr15;Entry evaluation for truck
weigh_empty_trucktr269;tr269;Empty truck weighed
weigh_empty_trucktr83;tr83;Empty truck weighed
trs_entrytr193;tr193;Entry evaluation for truck
weigh_empty_trucktr40;tr40;Empty truck weighed
weigh_empty_trucktr193;tr193;Empty truck weighed
weigh_empty_trucktr15;tr15;Empty truck weighed
check_abnormalitytr47;tr47;truck exmained for empty weight abnormality
check_abnormalitytr22;tr22;truck exmained for empty weight abnormality
weigh_loaded_trucktr102;tr102;Truck weighed
weigh_loaded_trucktr190;tr190;Truck weighed
assign_trs_Pcp157;tr196;Pickup plan trucks assignment
check_abnormalitytr269;tr269;truck exmained for empty weight abnormality
check_abnormalitytr83;tr83;truck exmained for empty weight abnormality
check_abnormalitytr40;tr40;truck exmained for empty weight abnormality
assign_trs_Pcp157;tr285;Pickup plan trucks assignment
check_abnormalitytr193;tr193;truck exmained for empty weight abnormality
assign_trs_Pcp157;tr289;Pickup plan trucks assignment
assign_trs_Pcp157;tr55;Pickup plan trucks assignment
assign_trs_Pcp157;tr110;Pickup plan trucks assignment
assign_trs_Pcp157;tr51;Pickup plan trucks assignment
fail_weightr47;tr47;Truck failed to be weighed
weigh_loaded_trucktr191;tr191;Truck weighed
fail_weightr22;tr22;Truck failed to be weighed
fail_weightr269;tr269;Truck failed to be weighed
fail_weightr83;tr83;Truck failed to be weighed
fail_weightr193;tr193;Truck failed to be weighed
check_abnormalitytr15;tr15;truck exmained for empty weight abnormality
arrive_at_Silo13;Silo13;Silo for truck load
fail_weightr15;tr15;Truck failed to be weighed
determine_continuanceSilo13;Silo13;silo evaluated for pickup continuance
print_w_tickettr102;tr102;Printed weighing ticket for pickup plan
input_tally_sheettr102;tr102;Tally Sheet for pickup plan
input_tally_sheettr190;tr190;Tally Sheet for pickup plan
print_w_tickettr190;tr190;Printed weighing ticket for pickup plan
load_trucktr40;tr40;cargo load for truck
eval_trs_exittr102_Pcp1270;tr102;Exit evaluation for truck
input_tally_sheettr191;tr191;Tally Sheet for pickup plan
print_w_tickettr191;tr191;Printed weighing ticket for pickup plan
trs_entrytr289;tr289;Entry evaluation for truck
eval_trs_exittr190_Pcp1270;tr190;Exit evaluation for truck
trs_entrytr285;tr285;Entry evaluation for truck
