ocel_source_id;ocel_target_id;ocel_qualifier
Golden Fleece Textiles S.A.R.L.;Mara Nitschke;primarySalesRep
Golden Fleece Textiles S.A.R.L.;Jan Niklas Adams;secondarySalesRep
AlpenTech Innovations AG;Wil van der Aalst;primarySalesRep
AlpenTech Innovations AG;Istvan Koren;secondarySalesRep
Danube Pharmaceuticals BV;Christine von Dobbert;primarySalesRep
Danube Pharmaceuticals BV;Mara Nitschke;secondarySalesRep
Iberian Sun Solaridades SA;Christine von Dobbert;primarySalesRep
Iberian Sun Solaridades SA;Mara Nitschke;secondarySalesRep
Eastern Oak Insurance Zrt.;Mara Nitschke;primarySalesRep
Eastern Oak Insurance Zrt.;Istvan Koren;secondarySalesRep
Carpathian Financial Services plc;Jan Niklas Adams;primarySalesRep
Carpathian Financial Services plc;Istvan Koren;secondarySalesRep
Nordica Systems GmbH;Wil van der Aalst;primarySalesRep
Nordica Systems GmbH;Istvan Koren;secondarySalesRep
SwissPeak Timepieces AG;Christine von Dobbert;primarySalesRep
SwissPeak Timepieces AG;Jan Niklas Adams;secondarySalesRep
Baltic Wave Energies Ltd.;Wil van der Aalst;primarySalesRep
Baltic Wave Energies Ltd.;Christine von Dobbert;secondarySalesRep
Mediterranea Luxury Cruises S.p.A.;Wil van der Aalst;primarySalesRep
Mediterranea Luxury Cruises S.p.A.;Christine von Dobbert;secondarySalesRep
Celtica Green Farms Oy;Istvan Koren;primarySalesRep
Celtica Green Farms Oy;Mara Nitschke;secondarySalesRep
Riviera Robotics SAS;Istvan Koren;primarySalesRep
Riviera Robotics SAS;Christine von Dobbert;secondarySalesRep
Vesta Fashion House GmbH;Jan Niklas Adams;primarySalesRep
Vesta Fashion House GmbH;Istvan Koren;secondarySalesRep
Pantheon Art Gallery Kft.;Istvan Koren;primarySalesRep
Pantheon Art Gallery Kft.;Christine von Dobbert;secondarySalesRep
Balkan Minerals d.o.o.;Christine von Dobbert;primarySalesRep
Balkan Minerals d.o.o.;Mara Nitschke;secondarySalesRep
o-990001;i-880001;comprises
o-990001;i-880002;comprises
o-990001;i-880003;comprises
Balkan Minerals d.o.o.;o-990001;places
i-880001;iPad mini;is a
i-880002;iPad Air;is a
i-880003;iPad Pro;is a
o-990002;i-880004;comprises
Baltic Wave Energies Ltd.;o-990002;places
i-880004;Fire Stick 4K;is a
o-990003;i-880005;comprises
o-990003;i-880006;comprises
o-990003;i-880007;comprises
o-990003;i-880008;comprises
Riviera Robotics SAS;o-990003;places
i-880005;iPhone X;is a
i-880006;MacBook Air;is a
i-880007;Echo Plus;is a
i-880008;Echo Show 5;is a
o-990004;i-880009;comprises
Vesta Fashion House GmbH;o-990004;places
i-880009;Echo;is a
o-990005;i-880010;comprises
o-990005;i-880011;comprises
o-990005;i-880012;comprises
o-990005;i-880013;comprises
o-990005;i-880014;comprises
o-990005;i-880015;comprises
Golden Fleece Textiles S.A.R.L.;o-990005;places
i-880010;Fire Stick 4K;is a
i-880011;iPad mini;is a
i-880012;iPad Air;is a
i-880013;Fire Stick 4K;is a
i-880014;iPhone 11 Pro;is a
i-880015;Echo;is a
o-990006;i-880016;comprises
o-990006;i-880017;comprises
Danube Pharmaceuticals BV;o-990006;places
i-880016;iPad mini;is a
i-880017;Kindle;is a
o-990007;i-880018;comprises
o-990007;i-880019;comprises
o-990007;i-880020;comprises
o-990007;i-880021;comprises
o-990007;i-880022;comprises
o-990007;i-880023;comprises
Mediterranea Luxury Cruises S.p.A.;o-990007;places
i-880018;iPhone 8;is a
i-880019;iPad Pro;is a
i-880020;Echo Dot;is a
i-880021;iPhone 11;is a
i-880022;MacBook Air;is a
i-880023;iPhone 11 Pro;is a
o-990008;i-880024;comprises
o-990008;i-880025;comprises
Golden Fleece Textiles S.A.R.L.;o-990008;places
i-880024;Kindle Paperwhite;is a
i-880025;Echo Show 5;is a
o-990009;i-880026;comprises
o-990009;i-880027;comprises
o-990009;i-880028;comprises
Eastern Oak Insurance Zrt.;o-990009;places
i-880026;Fire Stick;is a
i-880027;iPhone 11;is a
i-880028;iPad Air;is a
o-990010;i-880029;comprises
o-990010;i-880030;comprises
o-990010;i-880031;comprises
Carpathian Financial Services plc;o-990010;places
i-880029;MacBook Pro;is a
i-880030;iPhone 11 Pro;is a
i-880031;Echo Show 5;is a
o-990011;i-880032;comprises
o-990011;i-880033;comprises
o-990011;i-880034;comprises
o-990011;i-880035;comprises
Nordica Systems GmbH;o-990011;places
i-880032;MacBook Pro;is a
i-880033;Echo;is a
i-880034;iPhone X;is a
i-880035;iPhone 11;is a
o-990012;i-880036;comprises
o-990012;i-880037;comprises
Nordica Systems GmbH;o-990012;places
i-880036;Echo Dot;is a
