ocel_source_id;ocel_target_id;ocel_qualifier
co1;td1;TD for CO
td1;vh7;Regular VH for TD
cr1;td1;CR for TD
cr2;td1;CR for TD
cr3;td1;CR for TD
cr4;td1;CR for TD
cr5;td1;CR for TD
tr1;cr4;TR loads CR
cr4;hu6;CR contains HU
cr4;hu2;CR contains HU
cr4;hu5;CR contains HU
cr4;hu1;CR contains HU
cr4;hu4;CR contains HU
cr4;hu3;CR contains HU
tr1;cr2;TR loads CR
cr2;hu8;CR contains HU
cr2;hu11;CR contains HU
cr2;hu7;CR contains HU
cr2;hu10;CR contains HU
cr2;hu9;CR contains HU
cr2;hu12;CR contains HU
tr1;cr3;TR loads CR
cr3;hu18;CR contains HU
cr3;hu16;CR contains HU
cr3;hu17;CR contains HU
cr3;hu13;CR contains HU
cr3;hu14;CR contains HU
cr3;hu15;CR contains HU
tr1;cr5;TR loads CR
cr5;hu19;CR contains HU
tr1;cr1;TR loads CR
cr1;hu21;CR contains HU
cr1;hu23;CR contains HU
cr1;hu20;CR contains HU
cr1;hu24;CR contains HU
cr1;hu25;CR contains HU
cr1;hu22;CR contains HU
co2;td2;TD for CO
td2;vh4;Regular VH for TD
cr6;td2;CR for TD
cr7;td2;CR for TD
cr8;td2;CR for TD
cr9;td2;CR for TD
cr10;td2;CR for TD
tr1;cr7;TR loads CR
cr7;hu30;CR contains HU
cr7;hu29;CR contains HU
cr7;hu26;CR contains HU
cr7;hu28;CR contains HU
cr7;hu27;CR contains HU
cr7;hu31;CR contains HU
tr1;cr10;TR loads CR
cr10;hu32;CR contains HU
cr10;hu35;CR contains HU
cr10;hu34;CR contains HU
cr10;hu36;CR contains HU
cr10;hu33;CR contains HU
tr1;cr6;TR loads CR
cr6;hu42;CR contains HU
cr6;hu40;CR contains HU
cr6;hu41;CR contains HU
cr6;hu37;CR contains HU
cr6;hu39;CR contains HU
cr6;hu38;CR contains HU
tr1;cr9;TR loads CR
cr9;hu47;CR contains HU
cr9;hu46;CR contains HU
cr9;hu44;CR contains HU
cr9;hu45;CR contains HU
cr9;hu43;CR contains HU
cr9;hu48;CR contains HU
tr1;cr8;TR loads CR
cr8;hu53;CR contains HU
cr8;hu50;CR contains HU
cr8;hu54;CR contains HU
cr8;hu51;CR contains HU
cr8;hu49;CR contains HU
cr8;hu52;CR contains HU
co3;td3;TD for CO
td3;vh3;Regular VH for TD
cr11;td3;CR for TD
tr1;cr11;TR loads CR
cr11;hu58;CR contains HU
cr11;hu57;CR contains HU
cr11;hu56;CR contains HU
cr11;hu60;CR contains HU
cr11;hu55;CR contains HU
cr11;hu59;CR contains HU
co4;td4;TD for CO
td4;vh1;High-Prio VH for TD
td4;vh3;Regular VH for TD
cr14;td4;CR for TD
cr12;td4;CR for TD
cr13;td4;CR for TD
tr1;cr12;TR loads CR
cr12;hu64;CR contains HU
cr12;hu65;CR contains HU
cr12;hu61;CR contains HU
cr12;hu63;CR contains HU
cr12;hu66;CR contains HU
cr12;hu62;CR contains HU
tr1;cr14;TR loads CR
cr14;hu67;CR contains HU
cr14;hu69;CR contains HU
cr14;hu68;CR contains HU
tr1;cr13;TR loads CR
cr13;hu75;CR contains HU
cr13;hu73;CR contains HU
cr13;hu72;CR contains HU
cr13;hu71;CR contains HU
cr13;hu70;CR contains HU
cr13;hu74;CR contains HU
co5;td5;TD for CO
td5;vh1;High-Prio VH for TD
td5;vh6;Regular VH for TD
cr15;td5;CR for TD
cr17;td5;CR for TD
cr16;td5;CR for TD
tr1;cr16;TR loads CR
cr16;hu79;CR contains HU
cr16;hu78;CR contains HU
cr16;hu81;CR contains HU
cr16;hu77;CR contains HU
cr16;hu76;CR contains HU
cr16;hu80;CR contains HU
tr1;cr15;TR loads CR
cr15;hu87;CR contains HU
cr15;hu83;CR contains HU
cr15;hu82;CR contains HU
cr15;hu86;CR contains HU
cr15;hu84;CR contains HU
cr15;hu85;CR contains HU
tr1;cr17;TR loads CR
cr17;hu88;CR contains HU
cr17;hu90;CR contains HU
co6;td6;TD for CO
cr17;hu89;CR contains HU
td6;vh1;High-Prio VH for TD
td6;vh3;Regular VH for TD
