ocel_id;ocel_time;ocel_changed_field;Amount of Containers;Status
td1;2023-05-23 01:01:23;;5
td1;2023-05-23 06:20:09;Status;;in transit
td2;2023-05-23 07:40:11;;5
td2;2023-05-23 14:56:35;Status;;in transit
td3;2023-05-24 01:21:37;;1
td3;2023-05-24 05:34:38;Status;;in transit
td4;2023-05-24 07:40:55;;3
td4;2023-05-24 13:58:31;Status;;in transit
td5;2023-05-25 01:22:45;;3
td6;2023-05-25 07:44:17;;2
td5;2023-05-25 08:15:41;Status;;in transit
td6;2023-05-25 13:41:48;Status;;in transit
td7;2023-05-26 01:27:46;;5
td8;2023-05-26 07:59:23;;5
td7;2023-05-26 22:10:14;Status;;in transit
td8;2023-05-27 00:22:44;Status;;in transit
td9;2023-05-27 04:08:00;;4
td9;2023-05-27 16:41:05;Status;;in transit
td10;2023-05-29 22:57:38;;5
td11;2023-05-30 05:13:18;;2
td10;2023-05-30 16:22:39;Status;;in transit
td11;2023-05-30 18:21:39;Status;;in transit
td12;2023-05-30 23:14:39;;3
td13;2023-05-31 04:47:18;;1
td12;2023-05-31 10:14:10;Status;;in transit
td13;2023-05-31 13:02:00;Status;;in transit
td14;2023-05-31 23:22:39;;2
td15;2023-06-01 05:03:19;;3
td14;2023-06-01 07:03:35;Status;;in transit
td15;2023-06-01 15:30:49;Status;;in transit
td16;2023-06-01 23:54:39;;5
td17;2023-06-02 06:07:18;;4
td8;2023-06-02 11:00:00;Status;;shipped
td16;2023-06-02 17:48:17;Status;;in transit
td18;2023-06-03 01:55:54;;4
td17;2023-06-03 05:40:57;Status;;in transit
td18;2023-06-03 18:36:57;Status;;in transit
td19;2023-06-05 22:13:03;;5
td20;2023-06-06 03:44:07;;4
td6;2023-06-06 11:00:00;Status;;shipped
td3;2023-06-06 11:00:00;Status;;shipped
td9;2023-06-06 11:00:00;Status;;shipped
td4;2023-06-06 11:00:00;Status;;shipped
td21;2023-06-06 22:16:14;;5
td19;2023-06-07 00:25:05;Status;;in transit
td22;2023-06-07 03:50:30;;3
td23;2023-06-07 22:29:02;;2
td21;2023-06-08 04:09:23;Status;;in transit
