ocel_id;ocel_time;ocel_changed_field;Amount of Handling Units;Status;Weight
cr4;2023-05-23 04:21:24;;6;empty
cr4;2023-05-23 04:40:24;Status;;full
cr2;2023-05-23 04:47:54;;6;empty
cr4;2023-05-23 04:50:09;Weight;;;1140.0
cr2;2023-05-23 05:06:54;Status;;full
cr3;2023-05-23 05:14:24;;6;empty
cr2;2023-05-23 05:16:39;Weight;;;1230.0
cr3;2023-05-23 05:33:24;Status;;full
cr5;2023-05-23 05:40:54;;1;empty
cr3;2023-05-23 05:43:09;Weight;;;1160.0
cr5;2023-05-23 05:46:09;Status;;full
cr1;2023-05-23 05:53:39;;6;empty
cr5;2023-05-23 05:55:54;Weight;;;200.0
cr1;2023-05-23 06:12:39;Status;;full
cr1;2023-05-23 06:22:24;Weight;;;1210.0
cr7;2023-05-23 11:00:12;;6;empty
cr7;2023-05-23 11:33:44;Status;;full
cr10;2023-05-23 11:47:29;;5;empty
cr7;2023-05-23 11:51:37;Weight;;;1190.0
cr10;2023-05-23 12:17:14;Status;;full
cr6;2023-05-23 12:30:59;;6;empty
cr10;2023-05-23 12:35:07;Weight;;;1100.0
cr6;2023-05-23 13:05:46;Status;;full
cr9;2023-05-23 13:19:31;;6;empty
cr6;2023-05-23 13:23:39;Weight;;;1180.0
cr9;2023-05-23 13:54:18;Status;;full
cr8;2023-05-23 14:08:03;;6;empty
cr9;2023-05-23 14:12:11;Weight;;;1230.0
cr8;2023-05-23 14:42:50;Status;;full
cr8;2023-05-23 15:00:43;Weight;;;1190.0
cr11;2023-05-24 04:41:38;;6;empty
cr11;2023-05-24 05:19:38;Status;;full
cr11;2023-05-24 05:39:08;Weight;;;1140.0
cr12;2023-05-24 11:00:56;;6;empty
cr12;2023-05-24 11:47:58;Status;;full
cr14;2023-05-24 12:06:43;;3;empty
cr12;2023-05-24 12:12:21;Weight;;;1210.0
cr14;2023-05-24 12:33:34;Status;;full
cr13;2023-05-24 12:52:19;;6;empty
cr14;2023-05-24 12:57:57;Weight;;;650.0
cr13;2023-05-24 13:39:46;Status;;full
cr13;2023-05-24 14:04:09;Weight;;;1160.0
cr16;2023-05-25 04:42:46;;6;empty
cr16;2023-05-25 05:38:56;Status;;full
cr15;2023-05-25 06:01:26;;6;empty
cr16;2023-05-25 06:08:11;Weight;;;1210.0
cr15;2023-05-25 06:58:26;Status;;full
cr17;2023-05-25 07:20:56;;3;empty
cr15;2023-05-25 07:27:41;Weight;;;1190.0
cr17;2023-05-25 07:53:11;Status;;full
cr17;2023-05-25 08:22:26;Weight;;;560.0
cr18;2023-05-25 11:04:18;;6;empty
cr18;2023-05-25 12:06:48;Status;;full
cr19;2023-05-25 12:31:48;;4;empty
cr18;2023-05-25 12:39:18;Weight;;;1140.0
cr19;2023-05-25 13:16:48;Status;;full
cr19;2023-05-25 13:49:18;Weight;;;830.0
cr22;2023-05-26 04:47:46;;6;empty
cr22;2023-05-26 06:06:59;Status;;full
cr21;2023-05-26 06:38:14;;6;empty
cr22;2023-05-26 06:47:36;Weight;;;1160.0
