ocel_id;ocel_type
tr1;Truck
fl8;Forklift
fl4;Forklift
fl9;Forklift
fl3;Forklift
fl1;Forklift
fl5;Forklift
fl2;Forklift
fl7;Forklift
fl6;Forklift
co1;Customer Order
co2;Customer Order
td1;Transport Document
cr4;Container
hu6;Handling Unit
hu2;Handling Unit
hu5;Handling Unit
hu1;Handling Unit
hu4;Handling Unit
hu3;Handling Unit
hu8;Handling Unit
cr2;Container
hu11;Handling Unit
hu7;Handling Unit
hu10;Handling Unit
hu9;Handling Unit
hu12;Handling Unit
cr3;Container
hu18;Handling Unit
hu16;Handling Unit
hu17;Handling Unit
hu13;Handling Unit
hu14;Handling Unit
hu15;Handling Unit
hu19;Handling Unit
cr5;Container
hu21;Handling Unit
cr1;Container
hu23;Handling Unit
hu20;Handling Unit
hu24;Handling Unit
hu25;Handling Unit
hu22;Handling Unit
td2;Transport Document
cr7;Container
hu30;Handling Unit
hu29;Handling Unit
hu26;Handling Unit
hu28;Handling Unit
hu27;Handling Unit
hu31;Handling Unit
hu32;Handling Unit
cr10;Container
hu35;Handling Unit
hu34;Handling Unit
hu36;Handling Unit
hu33;Handling Unit
cr6;Container
hu42;Handling Unit
hu40;Handling Unit
hu41;Handling Unit
hu37;Handling Unit
hu39;Handling Unit
hu38;Handling Unit
cr9;Container
hu47;Handling Unit
hu46;Handling Unit
hu44;Handling Unit
hu45;Handling Unit
hu43;Handling Unit
hu48;Handling Unit
cr8;Container
hu53;Handling Unit
hu50;Handling Unit
co3;Customer Order
hu54;Handling Unit
hu51;Handling Unit
hu49;Handling Unit
hu52;Handling Unit
co4;Customer Order
td3;Transport Document
cr11;Container
hu58;Handling Unit
hu57;Handling Unit
hu56;Handling Unit
hu60;Handling Unit
hu55;Handling Unit
hu59;Handling Unit
td4;Transport Document
cr12;Container
hu64;Handling Unit
hu65;Handling Unit
hu61;Handling Unit
hu63;Handling Unit
hu66;Handling Unit
hu62;Handling Unit
hu67;Handling Unit
cr14;Container
hu69;Handling Unit
hu68;Handling Unit
hu75;Handling Unit
cr13;Container
hu73;Handling Unit
hu72;Handling Unit
hu71;Handling Unit
hu70;Handling Unit
hu74;Handling Unit
co5;Customer Order
co6;Customer Order
td5;Transport Document
cr16;Container
hu79;Handling Unit
hu78;Handling Unit
hu81;Handling Unit
hu77;Handling Unit
hu76;Handling Unit
hu80;Handling Unit
cr15;Container
hu87;Handling Unit
hu83;Handling Unit
hu82;Handling Unit
hu86;Handling Unit
hu84;Handling Unit
hu85;Handling Unit
hu88;Handling Unit
cr17;Container
hu90;Handling Unit
hu89;Handling Unit
td6;Transport Document
hu96;Handling Unit
cr18;Container
hu91;Handling Unit
hu94;Handling Unit
hu93;Handling Unit
hu92;Handling Unit
hu95;Handling Unit
cr19;Container
hu100;Handling Unit
hu97;Handling Unit
hu98;Handling Unit
hu99;Handling Unit
co7;Customer Order
co8;Customer Order
td7;Transport Document
hu103;Handling Unit
cr22;Container
hu105;Handling Unit
hu101;Handling Unit
hu104;Handling Unit
hu106;Handling Unit
hu102;Handling Unit
cr21;Container
hu111;Handling Unit
hu109;Handling Unit
hu108;Handling Unit
hu110;Handling Unit
hu107;Handling Unit
hu112;Handling Unit
td8;Transport Document
cr24;Container
hu115;Handling Unit
hu113;Handling Unit
hu114;Handling Unit
hu116;Handling Unit
cr23;Container
hu117;Handling Unit
hu121;Handling Unit
hu120;Handling Unit
hu118;Handling Unit
hu119;Handling Unit
hu125;Handling Unit
cr28;Container
hu127;Handling Unit
hu124;Handling Unit
hu123;Handling Unit
hu126;Handling Unit
hu122;Handling Unit
cr27;Container
hu129;Handling Unit
