RFID No,manufactured_weight,last_but_one_empty_weight,last_weighed_empty_weight
rfidTYPMEU,14655.8,11668.3,16259.6
rfidWCJYKC,13571.4,13691.4,12615.5
rfidQJJJPX,16071.3,13239.8,13302.5
rfidMOIZZH,12013.7,15710.7,11633.7
rfidDSMGMR,14145.7,14827.8,14232.8
rfidQHKPNQ,16292.4,12883.7,13451.6
rfidEEDQZO,14605.9,12136.3,14413.9
rfidRJULHQ,13484.7,14957.6,12876.8
rfidQNHSGI,11421.7,13743.9,12177.8
rfidVEOPEU,12095.5,11683.5,13845.1
rfidWHLYXT,13426.9,11666.3,11173.2
rfidNYBKKV,12422.3,16153.5,13410.2
rfidRPXRZH,16209.6,14665.9,13277.6
rfidEYAEZK,13735.8,14289.2,15099.8
rfidQMEQPT,12091.2,12046.2,12954.2
rfidOXGGMT,13803.8,15589.2,12722.6
rfidPRBGLX,11977.4,14573.8,13584.9
rfidTBJEOK,15396.0,11465.9,12741.0
rfidKKKARS,14869.3,15991.3,14471.1
rfidESNEYC,11822.1,11498.4,12179.2
rfidVSKCFX,14212.0,13884.4,11596.8
rfidZJJDWK,15934.3,11324.3,15525.5
rfidLFUPHY,12972.9,14482.6,13091.2
rfidBYOVGF,14154.0,11333.9,14381.7
rfidAYUFPZ,11800.8,14431.1,14363.4
rfidJPGTEP,13213.4,15595.7,12539.0
rfidMHVORV,12403.8,12673.4,11850.8
rfidMHLOGG,14321.3,13785.3,13513.1
rfidJYDKFA,15496.6,14648.2,11927.0
rfidBSWTEL,13222.4,12895.9,15416.8
rfidYSEYWA,14598.1,15908.3,14411.7
rfidWGMRTR,15947.5,12602.7,11264.9
rfidSLGTAY,15071.5,12977.6,12976.9
rfidMCXAKS,15829.5,15336.4,15008.7
rfidUFMPBQ,13077.3,12549.8,11035.3
rfidJQPXUQ,12017.5,14619.9,12273.6
rfidPDLBJF,14169.4,14377.9,13922.4
rfidAVUJRX,13968.3,12875.3,14890.5
rfidSMPEYG,13069.5,11625.8,12315.4
rfidQRXPSF,15281.1,12517.2,15199.8
rfidFMRPYF,15987.5,11186.2,15907.4
rfidPEVBVP,14658.9,15155.7,11486.7
rfidMBMMYT,14370.0,12944.6,12039.8
rfidJFKTVO,15900.4,16239.2,13446.8
rfidESJPHF,13073.6,14402.3,14169.7
rfidEXCNUM,11071.4,12830.1,11708.4
rfidHGNBVD,15658.8,15827.7,12173.8
rfidMCCHMA,15089.5,16422.6,14441.3
rfidPBEASI,14959.6,13982.1,11730.8
rfidSPNIUU,14318.4,12893.4,13882.6
rfidZIQFDD,16264.0,12997.4,15192.3
rfidGWTOLV,15678.0,15546.0,16014.8
rfidGNNHCH,14384.8,11377.0,12486.6
rfidGLCFLJ,12775.7,14722.8,16369.6
rfidWAHCGI,14951.5,13100.1,12073.6
rfidHROZMC,14791.6,13293.4,11494.0
rfidOFYUMJ,16463.2,13593.1,16233.9
rfidSUWITL,14353.8,14627.5,12044.6
rfidXULXEK,13670.4,12340.6,15027.2
rfidHNWVAX,12014.0,12867.2,13174.2
rfidEOFLGX,13510.1,15078.4,12253.8
rfidMCXDHZ,14770.0,12521.6,15518.3
rfidEDKJMO,12725.0,14367.2,15712.9
rfidKCJMQQ,15825.3,14499.0,15371.2
rfidKSNYRV,14002.1,12061.7,13387.1
rfidGWBEUD,14761.2,11759.7,13477.7
rfidMQROJG,14948.3,14499.3,13064.6
rfidIXINPK,14588.5,12731.7,12229.9
rfidLJOTGH,13537.4,13573.3,15831.8
rfidUZWQLA,14184.4,16403.9,13997.0
rfidWGYSUK,15911.6,16309.7,15358.3
rfidMHDTHU,12004.7,13781.5,13268.2
rfidTKKTSQ,12294.9,11706.4,14392.8
rfidMLIUWK,13836.0,11798.3,13320.7
rfidWQNNFY,14688.7,13273.7,12515.3
rfidJIVMAX,15877.3,15374.4,12588.4
rfidCOUVTA,11455.3,12413.1,16004.0
rfidSFCVYY,15664.1,16375.8,12387.4
rfidKPRYBV,15972.8,11953.1,12012.1
rfidLFIZNN,12182.0,12143.3,13066.6
rfidRFYWQN,12547.2,15705.3,13697.0
rfidBVMSUK,14117.5,14455.7,12302.9
rfidVVMRTY,12659.5,12118.7,11178.3
rfidQEMLKG,13620.5,15409.9,15807.5
rfidMULKOP,13143.9,13155.7,14062.0
rfidNNPNIV,11488.0,13416.3,11807.6
rfidPIPXDA,15458.8,16099.7,13778.2
rfidYEJSDF,13042.8,12890.1,11107.2
rfidCJEGOG,11015.8,15232.2,11721.6
rfidPBXVMC,15931.9,11123.1,14922.2
rfidGPGWMP,12042.9,15731.6,16084.4
rfidPAEYVS,13859.8,15680.9,15755.0
rfidKQQKDC,15648.8,16041.0,12215.7
rfidREVSNM,16270.2,11044.4,13096.2
rfidHKEQKJ,14156.9,14917.6,16156.6
rfidNGLODG,16073.6,12374.4,11442.1
rfidTVIXIB,11552.7,11485.9,14418.7
rfidKOZDLL,11052.3,15507.2,12872.2
rfidKNHTNI,13332.8,16393.5,15305.0
rfidCJKQVJ,15051.8,12514.6,14576.7
